time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.094568054797691703e-01,-1.719451555154086913e-04,4.845991496499089113e-01,-4.782779124529742295e-07,8.658908737086796361e-06,1.604730525677182582e-05,2.531853319528756785e-05,-1.386163756246142636e-05,7.026566513511156177e-06
1.003626815642458120e-01,3.094568624363002729e-01,-1.711335839859210253e-04,4.846007767379458264e-01,1.613292047274323402e-06,7.513866179616677671e-06,1.637685901553270743e-05,2.084011633735002877e-05,-1.140904706434268496e-05,3.283628472500722407e-06
2.007253631284916240e-01,3.094570886341502791e-01,-1.704489282560978742e-04,4.846024066265759433e-01,2.894316686826657717e-06,6.129765480122739612e-06,1.610311471027030286e-05,1.276395388790307965e-05,-1.379098961806759577e-05,-2.727550728974610438e-06
3.010880446927374221e-01,3.094574462423963501e-01,-1.698671721458639751e-04,4.846039795872832956e-01,4.232002388788519141e-06,5.463310774251243708e-06,1.524241498001826169e-05,1.332851694586856993e-05,-6.640463322463874132e-06,-8.575894115593910979e-06
4.014507262569832480e-01,3.094579081101007101e-01,-1.693549005397071276e-04,4.846054486741872558e-01,4.971970584445927291e-06,4.745097334671800005e-06,1.403314603627040010e-05,7.372941656443564555e-06,-7.156180249325933213e-06,-1.204898997217172556e-05
5.018134078212290738e-01,3.094584174935981480e-01,-1.689629878874012630e-04,4.846067397285410139e-01,5.178884085082029481e-06,3.064830542852671549e-06,1.169463113519669692e-05,2.061657753770253277e-06,-1.674194795944674357e-05,-2.330064187829351875e-05
6.021760893854748442e-01,3.094587397803773010e-01,-1.687230086796246092e-04,4.846080390769032520e-01,1.243558482945763318e-06,1.717409310374724156e-06,1.419842676286975013e-05,-3.921104479075841081e-05,-1.342552043724951722e-05,2.494747637915874623e-05
7.025387709497207256e-01,3.094573627730687337e-01,-1.686268630536613689e-04,4.846114668707739992e-01,-2.868418256896507803e-05,1.985543618734369014e-07,5.410970963392754108e-05,-2.981959089320765366e-04,-1.513366248119838041e-05,3.976705509358986605e-04
8.029014525139664959e-01,3.094503131848910793e-01,-1.687913978772620927e-04,4.846237054886248230e-01,-1.117980777249788537e-04,-3.477359213165007214e-06,1.897781112185147425e-04,-8.281354569308666501e-04,-3.662629891654855483e-05,1.351781354085690922e-03
9.032641340782122663e-01,3.094302560197460528e-01,-1.698847201321080540e-04,4.846574604460868740e-01,-2.878956098571024613e-04,-1.831006690589675627e-05,4.828814258912106448e-04,-1.754611668276292481e-03,-1.477910659774150275e-04,2.920441244737664779e-03
1.003626815642458148e+00,3.093872568574549398e-01,-1.741884006138672003e-04,4.847250648773120396e-01,-5.689799064394453687e-04,-6.745249771836956093e-05,8.643211432601145263e-04,-2.800685396218818412e-03,-4.896484434905711697e-04,3.800613050825374720e-03
1.103989497206703918e+00,3.093063857374540038e-01,-1.870933518660969884e-04,4.848358750713011034e-01,-1.042597599072960001e-03,-1.897138324572317193e-04,1.343874019762691593e-03,-4.719061759328687690e-03,-1.218195178061261957e-03,4.778199117722834420e-03
1.204352178770949688e+00,3.091606548767450446e-01,-2.185370345833457205e-04,4.850046933220629741e-01,-1.861487035525886263e-03,-4.368872552612240571e-04,2.020289793533693815e-03,-8.159302080113567043e-03,-2.462802098863486455e-03,6.739714037413436012e-03
1.304714860335195459e+00,3.089313623876026038e-01,-2.769266074590972767e-04,4.852320289807075526e-01,-2.707790818926295549e-03,-7.266841433043727191e-04,2.509992879295451073e-03,-8.432454874759992558e-03,-2.887496463091603072e-03,4.879334411250067782e-03
1.405077541899441451e+00,3.086079510576121288e-01,-3.672431765775327137e-04,4.855037078306557174e-01,-3.737061489716719288e-03,-1.073119682395929893e-03,2.903948751473833627e-03,-1.025551185707956371e-02,-3.451836217327364665e-03,3.925322301459201538e-03
1.505440223463687222e+00,3.081778256551013229e-01,-4.928153779602297002e-04,4.858035106115638491e-01,-4.834359596426180891e-03,-1.429248716406042279e-03,3.070438864230121048e-03,-1.093332790243394664e-02,-3.548420871777336998e-03,1.658884658733547537e-03
1.605802905027932992e+00,3.076300416884215072e-01,-6.563613147141720942e-04,4.861140894847087446e-01,-6.081729095946983125e-03,-1.829849868943147616e-03,3.118691762895291035e-03,-1.242861868654152567e-02,-3.991534963926466131e-03,4.807852671242316550e-04
1.706165586592178762e+00,3.070103428485596031e-01,-8.473651229702940926e-04,4.863934067370068171e-01,-6.267459471024820240e-03,-1.976421651090990057e-03,2.447465855547201891e-03,-1.850591994783877189e-03,-1.460421143231575630e-03,-6.688002919874287168e-03
1.806528268156424533e+00,3.064151521625597674e-01,-1.045083096716378432e-03,4.865802414735025949e-01,-5.593337325617540184e-03,-1.963647917885556846e-03,1.275725545555252789e-03,6.716860638839645091e-03,1.272757264587048680e-04,-1.167505981037259694e-02
1.906890949720670525e+00,3.059426252663510759e-01,-1.230229187221190809e-03,4.866165233338027862e-01,-3.823049100968761368e-03,-1.725892608914608327e-03,-5.527105815324195350e-04,1.763890917477680884e-02,2.368961303796498531e-03,-1.821828690295828473e-02
2.007253631284916295e+00,3.057093902301539212e-01,-1.375327580552894360e-03,4.864280198963019664e-01,-8.247947501913723521e-04,-1.165588389205609319e-03,-3.203734235661386421e-03,2.987419530892164443e-02,5.582794430919304010e-03,-2.641443625070888368e-02
2.107616312849161844e+00,3.058400895707470979e-01,-1.442304071345387869e-03,4.859265166611408948e-01,3.429335373380829662e-03,-1.691007551775914036e-04,-6.790084728612917446e-03,4.238756933620768663e-02,9.928866173131592129e-03,-3.573390464518205745e-02
