time,q1,q2,q3,q4,q5,q6,q7
0.007436,-0.000001,-0.780865,0.000000,-2.442008,-0.000010,1.571040,0.785398
0.009348,-0.000001,-0.780865,0.000000,-2.442008,-0.000010,1.571040,0.785398
0.011313,-0.000001,-0.780865,0.000000,-2.442008,-0.000010,1.571051,0.785398
0.013366,-0.000001,-0.780865,0.000000,-2.442008,-0.000010,1.571106,0.785398
0.015349,-0.000001,-0.780864,0.000000,-2.442008,-0.000010,1.571204,0.785398
0.017349,-0.000001,-0.780863,0.000000,-2.442008,-0.000010,1.571344,0.785398
0.019322,-0.000001,-0.780862,0.000000,-2.442008,-0.000010,1.571526,0.785398
0.021332,-0.000001,-0.780861,0.000000,-2.442008,-0.000010,1.571747,0.785398
0.023339,-0.000001,-0.780859,0.000000,-2.442008,-0.000010,1.572007,0.785398
0.025396,-0.000001,-0.780857,0.000000,-2.442008,-0.000010,1.572304,0.785398
0.027405,-0.000001,-0.780855,0.000000,-2.442008,-0.000010,1.572639,0.785398
0.029302,-0.000001,-0.780854,0.000000,-2.442008,-0.000010,1.572820,0.785398
0.031357,-0.000001,-0.780851,0.000000,-2.442008,-0.000010,1.573208,0.785398
0.033382,-0.000001,-0.780849,0.000000,-2.442008,-0.000010,1.573630,0.785398
0.035386,-0.000001,-0.780847,0.000000,-2.442008,-0.000010,1.574086,0.785398
0.037376,-0.000001,-0.780844,0.000000,-2.442008,-0.000010,1.574575,0.785398
0.039357,-0.000001,-0.780841,0.000000,-2.442008,-0.000010,1.575095,0.785398
0.041389,-0.000001,-0.780839,0.000000,-2.442008,-0.000010,1.575645,0.785398
0.043382,-0.000001,-0.780836,0.000000,-2.442008,-0.000010,1.576225,0.785398
0.045381,-0.000001,-0.780834,0.000000,-2.442008,-0.000010,1.576833,0.785398
0.047381,-0.000001,-0.780832,0.000000,-2.442008,-0.000010,1.577468,0.785398
0.049359,-0.000001,-0.780829,0.000000,-2.442008,-0.000010,1.578128,0.785398
0.051374,-0.000001,-0.780827,0.000000,-2.442008,-0.000010,1.578814,0.785398
0.053412,-0.000001,-0.780826,0.000000,-2.442008,-0.000010,1.579524,0.785398
0.055399,-0.000001,-0.780824,0.000000,-2.442008,-0.000010,1.580256,0.785398
0.057395,-0.000001,-0.780823,0.000000,-2.442008,-0.000010,1.581010,0.785398
0.059389,-0.000001,-0.780822,0.000000,-2.442008,-0.000010,1.581784,0.785398
0.061350,-0.000001,-0.780821,0.000000,-2.442008,-0.000010,1.582578,0.785398
0.063386,-0.000001,-0.780821,0.000000,-2.442008,-0.000010,1.583390,0.785398
0.065385,-0.000001,-0.780821,0.000000,-2.442008,-0.000010,1.584219,0.785398
0.067388,-0.000001,-0.780821,0.000000,-2.442008,-0.000010,1.585064,0.785398
0.069389,-0.000001,-0.780821,0.000000,-2.442007,-0.000010,1.585924,0.785398
0.071408,-0.000001,-0.780821,0.000000,-2.442007,-0.000010,1.586797,0.785398
0.073358,-0.000001,-0.780821,0.000000,-2.442006,-0.000010,1.587683,0.785398
0.075359,-0.000001,-0.780821,0.000000,-2.442004,-0.000010,1.588580,0.785398
0.077354,-0.000001,-0.780821,0.000000,-2.442002,-0.000010,1.589487,0.785398
0.079387,-0.000001,-0.780821,0.000000,-2.441999,-0.000010,1.590402,0.785398
0.081355,-0.000001,-0.780821,0.000000,-2.441996,-0.000010,1.591325,0.785398
0.083351,-0.000001,-0.780821,0.000000,-2.441991,-0.000010,1.592254,0.785398
0.085351,-0.000001,-0.780821,0.000000,-2.441986,-0.000010,1.593188,0.785398
0.087360,-0.000001,-0.780821,0.000000,-2.441979,-0.000010,1.594126,0.785398
0.089347,-0.000001,-0.780821,0.000000,-2.441971,-0.000010,1.595068,0.785398
0.091348,-0.000001,-0.780821,0.000000,-2.441962,-0.000010,1.596011,0.785398
0.093314,-0.000001,-0.780821,0.000000,-2.441952,-0.000010,1.596955,0.785398
0.095347,-0.000001,-0.780821,0.000000,-2.441941,-0.000010,1.597900,0.785398
0.097352,-0.000001,-0.780821,0.000000,-2.441927,-0.000010,1.598843,0.785398
0.099304,-0.000001,-0.780821,0.000000,-2.441913,-0.000010,1.599784,0.785398
0.101350,-0.000001,-0.780821,0.000000,-2.441897,-0.000010,1.600722,0.785398
0.103325,-0.000001,-0.780821,0.000000,-2.441879,-0.000010,1.601657,0.785398
0.105345,-0.000001,-0.780821,0.000000,-2.441859,-0.000010,1.602586,0.785398
0.107394,-0.000001,-0.780821,0.000000,-2.441837,-0.000010,1.603510,0.785398
0.109430,-0.000001,-0.780821,0.000000,-2.441814,-0.000010,1.604428,0.785398
0.111314,-0.000001,-0.780821,0.000000,-2.441788,-0.000010,1.605338,0.785398
0.113406,-0.000001,-0.780821,0.000000,-2.441761,-0.000010,1.606240,0.785398
0.115377,-0.000001,-0.780821,0.000000,-2.441731,-0.000010,1.607134,0.785398
0.117394,-0.000001,-0.780821,0.000000,-2.441700,-0.000010,1.608018,0.785398
0.119389,-0.000001,-0.780821,0.000000,-2.441683,-0.000010,1.608456,0.785398
0.121431,-0.000001,-0.780821,0.000000,-2.441629,-0.000010,1.609754,0.785398
0.123384,-0.000001,-0.780821,0.000000,-2.441591,-0.000010,1.610605,0.785398
0.125301,-0.000001,-0.780821,0.000000,-2.441571,-0.000010,1.611026,0.785398
0.127352,-0.000001,-0.780821,0.000000,-2.441529,-0.000010,1.611858,0.785398
0.129372,-0.000001,-0.780821,0.000000,-2.441484,-0.000010,1.612677,0.785398
0.131408,-0.000001,-0.780821,0.000000,-2.441437,-0.000010,1.613483,0.785398
0.133380,-0.000001,-0.780821,0.000000,-2.441387,-0.000010,1.614274,0.785398
0.135382,-0.000001,-0.780821,0.000000,-2.441335,-0.000010,1.615051,0.785398
0.137548,-0.000001,-0.780821,0.000000,-2.441280,-0.000010,1.615813,0.785398
0.139376,-0.000001,-0.780821,0.000000,-2.441222,-0.000010,1.616559,0.785398
0.141367,-0.000001,-0.780821,0.000000,-2.441162,-0.000010,1.617288,0.785398
0.143371,-0.000001,-0.780821,0.000000,-2.441099,-0.000010,1.618001,0.785398
0.145395,-0.000001,-0.780821,0.000000,-2.441033,-0.000010,1.618697,0.785398
0.147368,-0.000001,-0.780821,0.000000,-2.440965,-0.000010,1.619376,0.785398
0.149351,-0.000001,-0.780821,0.000000,-2.440893,-0.000010,1.620036,0.785398
0.151393,-0.000001,-0.780821,0.000000,-2.440819,-0.000010,1.620679,0.785398
0.153386,-0.000001,-0.780821,0.000000,-2.440741,-0.000010,1.621302,0.785398
0.155377,-0.000001,-0.780821,0.000000,-2.440661,-0.000010,1.621907,0.785398
0.157396,-0.000001,-0.780821,0.000000,-2.440578,-0.000010,1.622493,0.785398
0.159400,-0.000001,-0.780821,0.000000,-2.440492,-0.000010,1.623060,0.785398
0.161390,-0.000001,-0.780821,0.000000,-2.440403,-0.000010,1.623607,0.785398
0.163388,-0.000001,-0.780821,0.000000,-2.440311,-0.000010,1.624134,0.785398
0.165375,-0.000001,-0.780821,0.000000,-2.440215,-0.000010,1.624641,0.785398
0.167443,-0.000001,-0.780821,0.000000,-2.440117,-0.000010,1.625127,0.785398
0.169425,-0.000001,-0.780821,0.000000,-2.440016,-0.000010,1.625594,0.785398
0.171352,-0.000001,-0.780821,0.000000,-2.439912,-0.000010,1.626040,0.785398
0.173374,-0.000001,-0.780821,0.000000,-2.439804,-0.000010,1.626465,0.785398
0.175415,-0.000001,-0.780821,0.000000,-2.439694,-0.000010,1.626870,0.785398
0.177373,-0.000001,-0.780821,0.000000,-2.439580,-0.000010,1.627254,0.785398
0.179437,-0.000001,-0.780821,0.000000,-2.439464,-0.000010,1.627618,0.785398
0.181390,-0.000001,-0.780821,0.000000,-2.439344,-0.000010,1.627961,0.785398
0.183384,-0.000001,-0.780821,0.000000,-2.439222,-0.000010,1.628283,0.785398
0.185387,-0.000001,-0.780821,0.000000,-2.439096,-0.000010,1.628584,0.785398
0.187386,-0.000001,-0.780821,0.000000,-2.438967,-0.000010,1.628865,0.785398
0.189385,-0.000001,-0.780821,0.000000,-2.438836,-0.000010,1.629125,0.785398
0.191384,-0.000001,-0.780821,0.000000,-2.438701,-0.000010,1.629364,0.785398
0.193381,-0.000001,-0.780821,0.000000,-2.438563,-0.000010,1.629583,0.785398
0.195382,-0.000001,-0.780821,0.000000,-2.438422,-0.000010,1.629782,0.785398
0.197375,-0.000001,-0.780821,0.000000,-2.438279,-0.000010,1.629961,0.785398
0.199395,-0.000001,-0.780821,0.000000,-2.438132,-0.000010,1.630119,0.785398
0.201397,-0.000001,-0.780821,0.000000,-2.437982,-0.000010,1.630258,0.785398
0.203388,-0.000001,-0.780821,0.000000,-2.437830,-0.000010,1.630377,0.785398
0.205394,-0.000001,-0.780821,0.000000,-2.437674,-0.000010,1.630476,0.785398
0.207388,-0.000001,-0.780821,0.000000,-2.437516,-0.000010,1.630556,0.785398
0.209384,-0.000001,-0.780821,0.000000,-2.437355,-0.000010,1.630617,0.785398
0.211383,-0.000001,-0.780821,0.000000,-2.437191,-0.000010,1.630659,0.785398
0.213371,-0.000001,-0.780821,0.000000,-2.437024,-0.000010,1.630682,0.785398
0.215408,-0.000001,-0.780821,0.000000,-2.436855,-0.000010,1.630687,0.785398
0.217383,-0.000001,-0.780821,0.000000,-2.436685,-0.000010,1.630687,0.785398
0.219382,-0.000001,-0.780821,0.000000,-2.436514,-0.000010,1.630687,0.785398
0.221398,-0.000001,-0.780821,0.000000,-2.436342,-0.000010,1.630687,0.785398
0.223381,-0.000001,-0.780821,0.000000,-2.436170,-0.000010,1.630687,0.785398
0.225382,-0.000001,-0.780821,0.000000,-2.435998,-0.000010,1.630687,0.785398
0.227380,-0.000001,-0.780821,0.000000,-2.435826,-0.000010,1.630687,0.785398
0.229382,-0.000001,-0.780821,0.000000,-2.435653,-0.000010,1.630687,0.785398
0.231382,-0.000001,-0.780821,0.000000,-2.435480,-0.000010,1.630687,0.785398
0.233384,-0.000001,-0.780821,0.000000,-2.435306,-0.000010,1.630687,0.785398
0.235379,-0.000001,-0.780821,0.000000,-2.435132,-0.000010,1.630687,0.785398
0.237330,-0.000001,-0.780821,0.000000,-2.434958,-0.000010,1.630687,0.785398
0.239381,-0.000001,-0.780821,0.000000,-2.434783,-0.000010,1.630687,0.785398
0.241383,-0.000001,-0.780821,0.000000,-2.434608,-0.000010,1.630687,0.785398
0.243384,-0.000001,-0.780821,0.000000,-2.434433,-0.000010,1.630687,0.785398
0.245520,-0.000001,-0.780821,0.000000,-2.434258,-0.000010,1.630687,0.785398
0.247496,-0.000001,-0.780821,0.000000,-2.434082,-0.000010,1.630687,0.785398
0.249387,-0.000001,-0.780821,0.000000,-2.433906,-0.000010,1.630687,0.785398
0.251387,-0.000001,-0.780821,0.000000,-2.433730,-0.000010,1.630687,0.785398
0.253381,-0.000001,-0.780821,0.000000,-2.433554,-0.000010,1.630687,0.785398
0.255383,-0.000001,-0.780821,0.000000,-2.433377,-0.000010,1.630687,0.785398
0.257355,-0.000001,-0.780821,0.000000,-2.433201,-0.000010,1.630687,0.785398
0.259385,-0.000001,-0.780821,0.000000,-2.433024,-0.000010,1.630687,0.785398
0.261362,-0.000001,-0.780821,0.000000,-2.432847,-0.000010,1.630687,0.785398
0.263358,-0.000001,-0.780821,0.000000,-2.432669,-0.000010,1.630687,0.785398
0.265380,-0.000001,-0.780821,0.000000,-2.432492,-0.000010,1.630687,0.785398
0.267350,-0.000001,-0.780821,0.000000,-2.432315,-0.000010,1.630687,0.785398
0.269351,-0.000001,-0.780821,0.000000,-2.432137,-0.000010,1.630687,0.785398
0.271350,-0.000001,-0.780821,0.000000,-2.431959,-0.000010,1.630687,0.785398
0.273353,-0.000001,-0.780821,0.000000,-2.431782,-0.000010,1.630687,0.785398
0.275393,-0.000001,-0.780821,0.000000,-2.431604,-0.000010,1.630687,0.785398
0.277473,-0.000001,-0.780821,0.000000,-2.431426,-0.000010,1.630687,0.785398
0.279329,-0.000001,-0.780821,0.000000,-2.431248,-0.000010,1.630687,0.785398
0.281432,-0.000001,-0.780821,0.000000,-2.431070,-0.000010,1.630687,0.785398
0.283475,-0.000001,-0.780821,0.000000,-2.430892,-0.000010,1.630687,0.785398
0.285366,-0.000001,-0.780821,0.000000,-2.430803,-0.000010,1.630687,0.785398
0.287467,-0.000001,-0.780821,0.000000,-2.430625,-0.000010,1.630687,0.785398
0.289324,-0.000001,-0.780821,0.000000,-2.430447,-0.000010,1.630687,0.785398
0.291397,-0.000001,-0.780821,0.000000,-2.430180,-0.000010,1.630687,0.785398
0.293378,-0.000001,-0.780821,0.000000,-2.430091,-0.000010,1.630687,0.785398
0.295372,-0.000001,-0.780821,0.000000,-2.429913,-0.000010,1.630687,0.785398
0.297380,-0.000001,-0.780821,0.000000,-2.429735,-0.000010,1.630687,0.785398
0.299410,-0.000001,-0.780821,0.000000,-2.429557,-0.000010,1.630687,0.785398
0.301390,-0.000001,-0.780821,0.000000,-2.429379,-0.000010,1.630687,0.785398
0.303395,-0.000001,-0.780821,0.000000,-2.429201,-0.000010,1.630687,0.785398
0.305400,-0.000001,-0.780821,0.000000,-2.429024,-0.000010,1.630687,0.785398
0.307357,-0.000001,-0.780821,0.000000,-2.428846,-0.000010,1.630687,0.785398
0.309373,-0.000001,-0.780821,0.000000,-2.428669,-0.000010,1.630687,0.785398
0.311401,-0.000001,-0.780821,0.000000,-2.428491,-0.000010,1.630687,0.785398
0.313384,-0.000001,-0.780821,0.000000,-2.428314,-0.000010,1.630687,0.785398
0.315378,-0.000001,-0.780821,0.000000,-2.428137,-0.000010,1.630687,0.785398
0.317376,-0.000001,-0.780821,0.000000,-2.427960,-0.000010,1.630687,0.785398
0.319425,-0.000001,-0.780821,0.000000,-2.427783,-0.000010,1.630687,0.785398
0.321358,-0.000001,-0.780821,0.000000,-2.427607,-0.000010,1.630687,0.785398
0.323394,-0.000001,-0.780821,0.000000,-2.427430,-0.000010,1.630687,0.785398
0.325396,-0.000001,-0.780821,0.000000,-2.427254,-0.000010,1.630687,0.785398
