time,x,y,z
0.007436,0.294758,-0.000002,0.445581
0.009348,0.294758,-0.000002,0.445581
0.011313,0.294760,-0.000002,0.445581
0.013366,0.294772,-0.000002,0.445585
0.015349,0.294794,-0.000002,0.445592
0.017349,0.294824,-0.000002,0.445601
0.019322,0.294864,-0.000002,0.445613
0.021332,0.294912,-0.000002,0.445628
0.023339,0.294969,-0.000002,0.445645
0.025396,0.295034,-0.000002,0.445665
0.027405,0.295107,-0.000002,0.445688
0.029302,0.295146,-0.000002,0.445700
0.031357,0.295231,-0.000002,0.445726
0.033382,0.295323,-0.000002,0.445754
0.035386,0.295422,-0.000002,0.445785
0.037376,0.295529,-0.000002,0.445818
0.039357,0.295642,-0.000002,0.445854
0.041389,0.295762,-0.000002,0.445891
0.043382,0.295888,-0.000002,0.445931
0.045381,0.296020,-0.000002,0.445973
0.047381,0.296158,-0.000002,0.446017
0.049359,0.296302,-0.000002,0.446062
0.051374,0.296451,-0.000002,0.446110
0.053412,0.296605,-0.000002,0.446160
0.055399,0.296764,-0.000002,0.446211
0.057395,0.296927,-0.000002,0.446264
0.059389,0.297095,-0.000002,0.446318
0.061350,0.297267,-0.000002,0.446375
0.063386,0.297443,-0.000002,0.446432
0.065385,0.297623,-0.000002,0.446492
0.067388,0.297806,-0.000002,0.446552
0.069389,0.297992,-0.000002,0.446614
0.071408,0.298181,-0.000002,0.446677
0.073358,0.298373,-0.000002,0.446742
0.075359,0.298567,-0.000002,0.446807
0.077354,0.298764,-0.000002,0.446874
0.079387,0.298962,-0.000002,0.446942
0.081355,0.299162,-0.000002,0.447011
0.083351,0.299363,-0.000002,0.447081
0.085351,0.299566,-0.000002,0.447153
0.087360,0.299770,-0.000002,0.447225
0.089347,0.299974,-0.000002,0.447298
0.091348,0.300179,-0.000002,0.447372
0.093314,0.300384,-0.000002,0.447446
0.095347,0.300590,-0.000002,0.447522
0.097352,0.300795,-0.000002,0.447599
0.099304,0.301001,-0.000002,0.447676
0.101350,0.301205,-0.000002,0.447754
0.103325,0.301410,-0.000002,0.447832
0.105345,0.301613,-0.000002,0.447912
0.107394,0.301815,-0.000002,0.447992
0.109430,0.302017,-0.000002,0.448072
0.111314,0.302217,-0.000002,0.448153
0.113406,0.302415,-0.000002,0.448235
0.115377,0.302612,-0.000002,0.448317
0.117394,0.302807,-0.000002,0.448400
0.119389,0.302904,-0.000002,0.448441
0.121431,0.303192,-0.000002,0.448566
0.123384,0.303381,-0.000002,0.448650
0.125301,0.303474,-0.000002,0.448692
0.127352,0.303660,-0.000002,0.448776
0.129372,0.303843,-0.000002,0.448861
0.131408,0.304023,-0.000002,0.448945
0.133380,0.304201,-0.000002,0.449030
0.135382,0.304376,-0.000002,0.449116
0.137548,0.304549,-0.000002,0.449201
0.139376,0.304718,-0.000002,0.449287
0.141367,0.304884,-0.000002,0.449372
0.143371,0.305047,-0.000002,0.449458
0.145395,0.305207,-0.000002,0.449544
0.147368,0.305363,-0.000002,0.449630
0.149351,0.305517,-0.000002,0.449716
0.151393,0.305666,-0.000002,0.449802
0.153386,0.305812,-0.000002,0.449888
0.155377,0.305955,-0.000002,0.449974
0.157396,0.306094,-0.000002,0.450060
0.159400,0.306229,-0.000002,0.450146
0.161390,0.306360,-0.000002,0.450232
0.163388,0.306488,-0.000002,0.450318
0.165375,0.306612,-0.000002,0.450403
0.167443,0.306732,-0.000002,0.450489
0.169425,0.306848,-0.000002,0.450574
0.171352,0.306960,-0.000002,0.450659
0.173374,0.307069,-0.000002,0.450744
