time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,1.46863e-14,-6.82238e-13,1.02534e-14,0.548185,-1.11033e-13,5.24443e-12,1.5317e-13
0,1.4806e-14,-6.86759e-13,1.03351e-14,0.552893,-1.119e-13,5.28686e-12,1.53413e-13
0,-1.76328e-13,-0.00148982,-1.47118e-13,0.553801,1.24652e-12,1.8186e-11,-2.31e-12
0,-1.79521e-13,-0.00300655,-1.49764e-13,0.554648,1.26876e-12,1.84398e-11,-2.35439e-12
0,-1.80872e-13,-0.00453066,-1.50889e-13,0.555465,1.27911e-12,1.85917e-11,-2.36396e-12
0,-1.82193e-13,-0.00606179,-1.51989e-13,0.556254,1.28926e-12,1.8742e-11,-2.37293e-12
0,-1.83499e-13,-0.00759977,-1.53076e-13,0.557014,1.29932e-12,1.88915e-11,-2.38168e-12
0,-1.84792e-13,-0.00914443,-1.54153e-13,0.557746,1.30929e-12,1.90402e-11,-2.3902e-12
0,-1.86071e-13,-0.0106956,-1.55218e-13,0.55845,1.31918e-12,1.91883e-11,-2.3985e-12
0,-1.87337e-13,-0.0122531,-1.56272e-13,0.559126,1.32898e-12,1.93356e-11,-2.40659e-12
0,-1.8859e-13,-0.0138168,-1.57314e-13,0.559774,1.3387e-12,1.94822e-11,-2.41447e-12
0,-1.89829e-13,-0.0153865,-1.58345e-13,0.560395,1.34833e-12,1.96281e-11,-2.42213e-12
0,-1.91055e-13,-0.0169621,-1.59366e-13,0.560989,1.35788e-12,1.97733e-11,-2.42959e-12
0,-1.92268e-13,-0.0185434,-1.60374e-13,0.561556,1.36735e-12,1.99179e-11,-2.43684e-12
0,-1.93468e-13,-0.0201301,-1.61372e-13,0.562096,1.37673e-12,2.00617e-11,-2.44389e-12
0,-1.94654e-13,-0.0217223,-1.62359e-13,0.56261,1.38602e-12,2.02049e-11,-2.45074e-12
0,-1.95828e-13,-0.0233196,-1.63334e-13,0.563097,1.39523e-12,2.03474e-11,-2.45739e-12
0,-1.96988e-13,-0.0249219,-1.64299e-13,0.563558,1.40436e-12,2.04892e-11,-2.46385e-12
0,-1.98135e-13,-0.0265292,-1.65252e-13,0.563994,1.4134e-12,2.06304e-11,-2.47011e-12
0,-1.99269e-13,-0.0281411,-1.66195e-13,0.564404,1.42236e-12,2.07709e-11,-2.47619e-12
0,-2.0039e-13,-0.0297576,-1.67126e-13,0.564788,1.43124e-12,2.09108e-11,-2.48209e-12
0,-2.01498e-13,-0.0313785,-1.68046e-13,0.565148,1.44003e-12,2.105e-11,-2.48779e-12
0,-2.02593e-13,-0.0330037,-1.68956e-13,0.565482,1.44875e-12,2.11887e-11,-2.49332e-12
0,-2.03676e-13,-0.0346329,-1.69855e-13,0.565792,1.45737e-12,2.13267e-11,-2.49867e-12
0,-2.04745e-13,-0.036266,-1.70742e-13,0.566077,1.46592e-12,2.1464e-11,-2.50384e-12
0,-2.05802e-13,-0.0379029,-1.71619e-13,0.566338,1.47438e-12,2.16008e-11,-2.50885e-12
0,-2.06846e-13,-0.0395434,-1.72485e-13,0.566575,1.48276e-12,2.17369e-11,-2.51368e-12
0,-2.07877e-13,-0.0411874,-1.73341e-13,0.566788,1.49107e-12,2.18725e-11,-2.51834e-12
0,-2.08896e-13,-0.0428347,-1.74186e-13,0.566977,1.49928e-12,2.20075e-11,-2.52284e-12
0,-2.09902e-13,-0.0444851,-1.7502e-13,0.567143,1.50742e-12,2.21419e-11,-2.52718e-12
0,-2.10895e-13,-0.0461385,-1.75843e-13,0.567286,1.51548e-12,2.22757e-11,-2.53136e-12
