time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.094391533603749744e-01,-8.852443318480310254e-04,4.842945479015087207e-01,5.334975945071988529e-06,-3.837016527699121032e-05,4.147002257881657423e-07,4.365076154022091082e-07,-5.200454363156390401e-05,-6.292621147247920378e-05
1.003631304347826075e-01,3.094395065135635559e-01,-8.904891964381690672e-04,4.842945845325193344e-01,1.702532491139450445e-06,-6.614759074390610591e-05,3.152692453256750139e-07,-3.619300671667421786e-05,-2.767692213921630717e-04,-9.907122270075302160e-07
2.007262608695652151e-01,3.094380734652965037e-01,-9.026747274007170365e-04,4.842965114814608008e-01,-3.025979771052487657e-05,-1.766812431069131654e-04,3.808426917302127116e-05,-3.184668519525095669e-04,-1.101337232947644873e-03,3.763234542812355352e-04
3.010893913043478087e-01,3.094271155887229341e-01,-9.363780419552104363e-04,4.843081463953363142e-01,-1.881047854999874018e-04,-4.949461644577457216e-04,1.937720674140580200e-04,-1.572738784707721285e-03,-3.171133861330138314e-03,1.551244939915508939e-03
4.014525217391304301e-01,3.093912299521096032e-01,-1.008874060106346648e-03,4.843414007753636397e-01,-5.270111431856758536e-04,-9.497281464585528030e-04,4.689091359971240365e-04,-3.376801383311918252e-03,-4.531365054384496778e-03,2.741415770822872196e-03
5.018156521739129960e-01,3.093031231303174367e-01,-1.139208277200492222e-03,4.844110465204837790e-01,-1.228749591069235774e-03,-1.647524779581624119e-03,9.189659695011588190e-04,-6.991994419101538703e-03,-6.952718892885764550e-03,4.484284533118345316e-03
6.021787826086956175e-01,3.091183612572873107e-01,-1.349341294580528585e-03,4.845324944350408169e-01,-2.453117888147154230e-03,-2.539929646555148194e-03,1.501203948095505749e-03,-1.219938329717136505e-02,-8.891759983048967697e-03,5.801313451185076929e-03
7.025419130434782389e-01,3.087619836014366959e-01,-1.666791362483708780e-03,4.847236814899784085e-01,-4.648646560744275000e-03,-3.786099972647766383e-03,2.308702221816996344e-03,-2.187584886089026515e-02,-1.241661475378547964e-02,8.045766111751711386e-03
8.029050434782608603e-01,3.081767983328955185e-01,-2.087670249871215536e-03,4.849860647984119422e-01,-7.012712864895909171e-03,-4.601021584127501854e-03,2.919977021185353201e-03,-2.355512720568075577e-02,-8.119730900674557855e-03,6.090631058639326030e-03
9.032681739130434817e-01,3.073378211403611782e-01,-2.576107267324757172e-03,4.853092845328197957e-01,-9.706119815986041788e-03,-5.132373843806759678e-03,3.521028415923209334e-03,-2.683661758478474851e-02,-5.294297391655574184e-03,5.988766912052706330e-03
1.003631304347825992e+00,3.062405608099306731e-01,-3.088476352658444703e-03,4.856881955207174584e-01,-1.215968539907785924e-02,-5.077931137993943467e-03,4.029772087334054093e-03,-2.444688176288182385e-02,5.424572308273456142e-04,5.069029525154494613e-03
1.103994434782608725e+00,3.049440009174255173e-01,-3.550997380979223610e-03,4.861073701720857176e-01,-1.367768908074084092e-02,-4.139019874137582489e-03,4.323388073223019719e-03,-1.512511292829194463e-02,9.355141273383042744e-03,2.925536346036568171e-03
1.204357565217391235e+00,3.035796742062881748e-01,-3.862192126422138785e-03,4.865365730347252504e-01,-1.351011794016321321e-02,-2.062355951721769193e-03,4.229610638160958939e-03,1.669648404266520572e-03,2.069150208268223309e-02,-9.343813276430096987e-04
1.304720695652173967e+00,3.023427500712680405e-01,-3.902143823128012209e-03,4.869313960449088707e-01,-1.113885683098371146e-02,1.266213054767496068e-03,3.638278864153525211e-03,2.362681493599266130e-02,3.316525692323055163e-02,-5.891922376730660514e-03
