time,q1,q2,q3,q4,q5,q6,q7
0.010730,-0.000001,-0.781054,0.000000,-2.434785,-0.000010,1.571040,0.785398
0.012749,-0.000001,-0.781054,0.000000,-2.434785,-0.000010,1.571040,0.785398
0.014662,-0.000001,-0.781054,0.000000,-2.434785,-0.000010,1.571050,0.785398
0.016717,-0.000001,-0.781054,0.000000,-2.434785,-0.000010,1.571098,0.785398
0.018849,-0.000001,-0.781053,0.000000,-2.434785,-0.000010,1.571184,0.785398
0.020700,-0.000001,-0.781052,0.000000,-2.434785,-0.000010,1.571307,0.785398
0.022617,-0.000001,-0.781051,0.000000,-2.434785,-0.000010,1.571466,0.785398
0.024853,-0.000001,-0.781049,0.000000,-2.434785,-0.000010,1.571660,0.785398
0.026693,-0.000001,-0.781049,0.000000,-2.434785,-0.000010,1.571770,0.785398
0.028666,-0.000001,-0.781047,0.000000,-2.434785,-0.000010,1.572015,0.785398
0.030739,-0.000001,-0.781045,0.000000,-2.434785,-0.000010,1.572294,0.785398
0.032707,-0.000001,-0.781043,0.000000,-2.434785,-0.000010,1.572604,0.785398
0.034729,-0.000001,-0.781041,0.000000,-2.434785,-0.000010,1.572946,0.785398
0.036750,-0.000001,-0.781039,0.000000,-2.434785,-0.000010,1.573319,0.785398
0.038725,-0.000001,-0.781036,0.000000,-2.434785,-0.000010,1.573721,0.785398
0.040710,-0.000001,-0.781034,0.000000,-2.434785,-0.000010,1.574151,0.785398
0.042708,-0.000001,-0.781032,0.000000,-2.434785,-0.000010,1.574610,0.785398
0.044793,-0.000001,-0.781029,0.000000,-2.434785,-0.000010,1.575094,0.785398
0.046710,-0.000001,-0.781027,0.000000,-2.434785,-0.000010,1.575605,0.785398
0.048711,-0.000001,-0.781025,0.000000,-2.434785,-0.000010,1.576140,0.785398
0.050704,-0.000001,-0.781023,0.000000,-2.434785,-0.000010,1.576699,0.785398
0.052699,-0.000001,-0.781021,0.000000,-2.434785,-0.000010,1.577281,0.785398
0.054701,-0.000001,-0.781019,0.000000,-2.434785,-0.000010,1.577884,0.785398
0.056699,-0.000001,-0.781017,0.000000,-2.434785,-0.000010,1.578509,0.785398
0.058721,-0.000001,-0.781015,0.000000,-2.434785,-0.000010,1.579153,0.785398
0.060685,-0.000001,-0.781014,0.000000,-2.434785,-0.000010,1.579816,0.785398
0.062701,-0.000001,-0.781013,0.000000,-2.434785,-0.000010,1.580498,0.785398
0.064670,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.581196,0.785398
0.066664,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.581910,0.785398
0.068663,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.582639,0.785398
0.070705,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.583383,0.785398
0.072705,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.584139,0.785398
0.074678,-0.000001,-0.781012,0.000000,-2.434785,-0.000010,1.584907,0.785398
0.076661,-0.000001,-0.781012,0.000000,-2.434784,-0.000010,1.585686,0.785398
0.078662,-0.000001,-0.781012,-0.000000,-2.434783,-0.000010,1.586475,0.785398
0.080667,-0.000001,-0.781012,-0.000000,-2.434782,-0.000010,1.587272,0.785398
0.082670,-0.000001,-0.781012,-0.000000,-2.434780,-0.000010,1.588077,0.785398
0.084663,-0.000001,-0.781012,-0.000000,-2.434777,-0.000010,1.588889,0.785398
0.086663,-0.000001,-0.781012,-0.000000,-2.434774,-0.000010,1.589707,0.785398
0.088664,-0.000001,-0.781012,-0.000000,-2.434770,-0.000010,1.590530,0.785398
0.090664,-0.000001,-0.781012,-0.000000,-2.434765,-0.000010,1.591356,0.785398
0.092636,-0.000001,-0.781012,-0.000000,-2.434759,-0.000010,1.592185,0.785398
0.094721,-0.000001,-0.781012,-0.000000,-2.434752,-0.000010,1.593016,0.785398
0.096656,-0.000001,-0.781012,-0.000000,-2.434745,-0.000010,1.593848,0.785398
0.098662,-0.000001,-0.781012,-0.000000,-2.434736,-0.000010,1.594680,0.785398
0.100667,-0.000001,-0.781012,-0.000000,-2.434725,-0.000010,1.595511,0.785398
0.102845,-0.000001,-0.781012,-0.000000,-2.434714,-0.000010,1.596341,0.785398
0.104632,-0.000001,-0.781012,-0.000000,-2.434701,-0.000010,1.597168,0.785398
0.106819,-0.000001,-0.781012,-0.000000,-2.434687,-0.000010,1.597993,0.785398
0.108802,-0.000001,-0.781012,-0.000000,-2.434671,-0.000010,1.598813,0.785398
0.110703,-0.000001,-0.781012,-0.000000,-2.434654,-0.000010,1.599628,0.785398
0.112689,-0.000001,-0.781012,-0.000000,-2.434635,-0.000010,1.600437,0.785398
0.114711,-0.000001,-0.781012,-0.000000,-2.434614,-0.000010,1.601241,0.785398
0.116613,-0.000001,-0.781012,-0.000000,-2.434592,-0.000010,1.602037,0.785398
0.118732,-0.000001,-0.781012,-0.000000,-2.434568,-0.000010,1.602826,0.785398
0.120732,-0.000001,-0.781012,-0.000000,-2.434542,-0.000010,1.603606,0.785398
0.122756,-0.000001,-0.781012,-0.000000,-2.434514,-0.000010,1.604378,0.785398
0.124750,-0.000001,-0.781012,-0.000000,-2.434500,-0.000010,1.604760,0.785398
0.126750,-0.000001,-0.781012,-0.000000,-2.434469,-0.000010,1.605517,0.785398
0.128645,-0.000001,-0.781012,-0.000000,-2.434436,-0.000010,1.606264,0.785398
0.130746,-0.000001,-0.781012,-0.000000,-2.434401,-0.000010,1.607000,0.785398
0.132700,-0.000001,-0.781012,-0.000000,-2.434365,-0.000010,1.607724,0.785398
0.134706,-0.000001,-0.781012,-0.000000,-2.434326,-0.000010,1.608437,0.785398
0.136679,-0.000001,-0.781012,-0.000000,-2.434285,-0.000010,1.609137,0.785398
0.138712,-0.000001,-0.781012,-0.000000,-2.434241,-0.000010,1.609825,0.785398
0.140693,-0.000001,-0.781012,-0.000000,-2.434196,-0.000010,1.610499,0.785398
0.142688,-0.000001,-0.781012,-0.000000,-2.434148,-0.000010,1.611159,0.785398
0.144712,-0.000001,-0.781012,-0.000000,-2.434097,-0.000010,1.611806,0.785398
0.146719,-0.000001,-0.781012,-0.000000,-2.434045,-0.000010,1.612437,0.785398
0.148717,-0.000001,-0.781012,-0.000000,-2.433990,-0.000010,1.613054,0.785398
0.150716,-0.000001,-0.781012,-0.000000,-2.433933,-0.000010,1.613656,0.785398
0.152670,-0.000001,-0.781012,-0.000000,-2.433873,-0.000010,1.614241,0.785398
0.154702,-0.000001,-0.781012,-0.000000,-2.433810,-0.000010,1.614811,0.785398
0.156719,-0.000001,-0.781012,-0.000000,-2.433746,-0.000010,1.615365,0.785398
0.158698,-0.000001,-0.781012,-0.000000,-2.433678,-0.000010,1.615901,0.785398
0.160682,-0.000001,-0.781012,-0.000000,-2.433608,-0.000010,1.616421,0.785398
0.162662,-0.000001,-0.781012,-0.000000,-2.433536,-0.000010,1.616924,0.785398
0.164713,-0.000001,-0.781012,-0.000000,-2.433461,-0.000010,1.617410,0.785398
0.166673,-0.000001,-0.781012,-0.000000,-2.433383,-0.000010,1.617878,0.785398
0.168699,-0.000001,-0.781012,-0.000000,-2.433303,-0.000010,1.618328,0.785398
0.170699,-0.000001,-0.781012,-0.000000,-2.433220,-0.000010,1.618761,0.785398
0.172669,-0.000001,-0.781012,-0.000000,-2.433135,-0.000010,1.619176,0.785398
0.174701,-0.000001,-0.781012,-0.000000,-2.433047,-0.000010,1.619573,0.785398
0.176703,-0.000001,-0.781012,-0.000000,-2.432956,-0.000010,1.619952,0.785398
0.178703,-0.000001,-0.781012,-0.000000,-2.432863,-0.000010,1.620313,0.785398
0.180668,-0.000001,-0.781012,-0.000000,-2.432767,-0.000010,1.620656,0.785398
0.182686,-0.000001,-0.781012,-0.000000,-2.432668,-0.000010,1.620980,0.785398
0.184731,-0.000001,-0.781012,-0.000000,-2.432567,-0.000010,1.621287,0.785398
0.186694,-0.000001,-0.781012,-0.000000,-2.432463,-0.000010,1.621575,0.785398
0.188723,-0.000001,-0.781012,-0.000000,-2.432356,-0.000010,1.621845,0.785398
0.190728,-0.000001,-0.781012,-0.000000,-2.432247,-0.000010,1.622097,0.785398
0.192665,-0.000001,-0.781012,-0.000000,-2.432136,-0.000010,1.622331,0.785398
0.194698,-0.000001,-0.781012,-0.000000,-2.432021,-0.000010,1.622547,0.785398
0.196696,-0.000001,-0.781012,-0.000000,-2.431904,-0.000010,1.622745,0.785398
0.198722,-0.000001,-0.781012,-0.000000,-2.431785,-0.000010,1.622925,0.785398
0.200696,-0.000001,-0.781012,-0.000000,-2.431663,-0.000010,1.623088,0.785398
0.202697,-0.000001,-0.781012,-0.000000,-2.431538,-0.000010,1.623233,0.785398
