time,x,y,z
0.010730,0.295952,-0.000002,0.448953
0.012749,0.295952,-0.000002,0.448953
0.014662,0.295954,-0.000002,0.448954
0.016717,0.295964,-0.000002,0.448957
0.018849,0.295983,-0.000002,0.448963
0.020700,0.296010,-0.000002,0.448971
0.022617,0.296044,-0.000002,0.448982
0.024853,0.296087,-0.000002,0.448995
0.026693,0.296111,-0.000002,0.449003
0.028666,0.296164,-0.000002,0.449020
0.030739,0.296225,-0.000002,0.449039
0.032707,0.296292,-0.000002,0.449060
0.034729,0.296367,-0.000002,0.449084
0.036750,0.296448,-0.000002,0.449109
0.038725,0.296535,-0.000002,0.449137
0.040710,0.296629,-0.000002,0.449167
0.042708,0.296728,-0.000002,0.449199
0.044793,0.296833,-0.000002,0.449233
0.046710,0.296944,-0.000002,0.449268
0.048711,0.297061,-0.000002,0.449306
0.050704,0.297182,-0.000002,0.449345
0.052699,0.297308,-0.000002,0.449386
0.054701,0.297439,-0.000002,0.449429
0.056699,0.297574,-0.000002,0.449473
0.058721,0.297714,-0.000002,0.449519
0.060685,0.297857,-0.000002,0.449567
0.062701,0.298005,-0.000002,0.449616
0.064670,0.298156,-0.000002,0.449666
0.066664,0.298311,-0.000002,0.449718
0.068663,0.298468,-0.000002,0.449771
0.070705,0.298629,-0.000002,0.449825
0.072705,0.298792,-0.000002,0.449880
0.074678,0.298958,-0.000002,0.449937
0.076661,0.299126,-0.000002,0.449994
0.078662,0.299297,-0.000002,0.450053
0.080667,0.299469,-0.000002,0.450112
0.082670,0.299643,-0.000002,0.450172
0.084663,0.299819,-0.000002,0.450234
0.086663,0.299996,-0.000002,0.450296
0.088664,0.300174,-0.000002,0.450359
0.090664,0.300353,-0.000002,0.450423
0.092636,0.300532,-0.000002,0.450488
0.094721,0.300712,-0.000002,0.450553
0.096656,0.300893,-0.000002,0.450619
0.098662,0.301073,-0.000002,0.450686
0.100667,0.301254,-0.000002,0.450754
0.102845,0.301434,-0.000002,0.450822
0.104632,0.301614,-0.000002,0.450891
0.106819,0.301794,-0.000002,0.450960
0.108802,0.301973,-0.000002,0.451030
0.110703,0.302151,-0.000002,0.451100
0.112689,0.302328,-0.000002,0.451171
0.114711,0.302504,-0.000002,0.451242
0.116613,0.302678,-0.000002,0.451314
0.118732,0.302851,-0.000002,0.451386
0.120732,0.303023,-0.000002,0.451458
0.122756,0.303193,-0.000002,0.451531
0.124750,0.303278,-0.000002,0.451568
0.126750,0.303445,-0.000002,0.451641
0.128645,0.303610,-0.000002,0.451714
