time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.002000,1.437922,1.659389,1.299478,1.536344,1.083418,2.400000,0.000000
0.003000,7.188877,8.291907,6.495663,7.689244,5.417137,12.000000,0.000000
0.004000,7.188877,8.291907,6.495663,7.689244,5.417137,12.000000,0.000000
0.005000,7.174340,8.273766,6.480439,7.677712,5.407228,12.000000,0.000000
0.006000,7.174340,8.273766,6.480439,7.677712,5.407228,12.000000,0.000000
0.007000,7.021308,8.193208,6.341215,7.446086,5.291608,12.000000,-0.000000
0.008000,7.021308,8.193208,6.341215,7.446086,5.291608,12.000000,-0.000000
0.009000,6.864688,8.113794,6.200143,7.200961,5.171665,12.000000,-0.000000
0.010000,6.864688,8.113794,6.200143,7.200961,5.171665,12.000000,-0.000000
0.011000,6.707179,8.035791,6.059645,6.941210,5.049410,12.000000,0.000000
0.012000,6.707179,8.035791,6.059645,6.941210,5.049410,12.000000,0.000000
0.013000,6.549334,7.960135,5.920179,6.665364,4.925119,12.000000,0.000000
0.014000,6.549334,7.960135,5.920179,6.665364,4.925119,12.000000,0.000000
0.015000,6.393277,7.887851,5.783612,6.371867,4.800169,12.000000,-0.000000
0.016000,6.393277,7.887851,5.783612,6.371867,4.800169,12.000000,-0.000000
0.017000,6.239064,7.819981,5.649938,6.059215,4.674304,11.779056,0.000000
0.018000,6.239064,7.819981,5.649938,6.059215,4.674304,11.779056,0.000000
0.019000,6.085684,7.757593,5.518239,5.725882,4.546514,11.432034,0.000000
0.020000,6.085684,7.757593,5.518239,5.725882,4.546514,11.432034,0.000000
0.021000,5.932658,7.723038,5.388405,5.434666,4.417882,11.135167,-0.000000
0.022000,5.932658,7.723038,5.388405,5.434666,4.417882,11.135167,-0.000000
0.023000,5.775263,7.745524,5.257303,5.293424,4.291194,10.997913,-0.000000
0.024000,5.775263,7.745524,5.257303,5.293424,4.291194,10.997913,-0.000000
0.025000,5.613597,7.770240,5.124664,5.149917,4.165115,10.859118,-0.000000
0.026000,5.613597,7.770240,5.124664,5.149917,4.165115,10.859118,-0.000000
0.027000,5.448004,7.797691,4.990732,5.003362,4.039695,10.718753,0.000000
0.028000,5.448004,7.797691,4.990732,5.003362,4.039695,10.718753,0.000000
0.029000,5.278838,7.827957,4.855754,4.853631,3.914994,10.576862,0.000000
0.030000,5.278838,7.827957,4.855754,4.853631,3.914994,10.576862,0.000000
0.031000,5.106454,7.861116,4.719980,4.700610,3.791073,10.433503,-0.000000
0.032000,5.106454,7.861116,4.719980,4.700610,3.791073,10.433503,-0.000000
0.033000,4.931213,7.897233,4.583662,4.544200,3.667991,10.288730,0.000000
0.034000,4.931213,7.897233,4.583662,4.544200,3.667991,10.288730,0.000000
0.035000,4.753472,7.936366,4.447053,4.384317,3.545807,10.142605,-0.000000
0.036000,4.753472,7.936366,4.447053,4.384317,3.545807,10.142605,-0.000000
0.037000,4.573593,7.978558,4.310403,4.220893,3.424578,9.995189,-0.000000
0.038000,4.573593,7.978558,4.310403,4.220893,3.424578,9.995189,-0.000000
0.039000,4.391936,8.023843,4.173967,4.053873,3.304363,9.846550,0.000000
0.040000,4.391936,8.023843,4.173967,4.053873,3.304363,9.846550,0.000000
0.041000,4.208864,8.072248,4.037995,3.883221,3.185219,9.696757,-0.000000
0.042000,4.024738,8.123787,3.902738,3.708916,3.067204,9.545882,-0.000000
0.043000,4.024738,8.123787,3.902738,3.708916,3.067204,9.545882,-0.000000
0.044000,3.841832,8.178147,3.770121,3.531562,2.951608,9.394109,0.000000
0.045000,3.841832,8.178147,3.770121,3.531562,2.951608,9.394109,0.000000
0.046000,3.658668,8.235577,3.638754,3.350652,2.837256,9.241425,-0.000000
0.047000,3.658668,8.235577,3.638754,3.350652,2.837256,9.241425,-0.000000
