time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,6.089097597613422064e-01,3.187504684751013007e-01,2.430450000000000110e-01,-6.032219624326675550e-03,4.184171807172403119e-03,-1.011831611762075388e-03,-1.952323542545027213e-02,7.483372720025532540e-03,4.051964629289883137e-03
1.401009898989900027e-01,6.080646398206859260e-01,3.193366750871936000e-01,2.429032413895810538e-01,-8.767444233463286135e-03,5.232599733031076915e-03,-4.441473561628690421e-04,-2.850086615241176347e-02,7.963704395858067081e-03,8.810165835113736854e-03
2.802019797979800053e-01,6.064531045293574119e-01,3.202166532797869891e-01,2.429205490314811366e-01,-1.401821874618968365e-02,6.415617545417708588e-03,1.456794297585316169e-03,-3.705656655072264022e-02,1.616004454474957112e-03,1.613016636897668041e-02
4.203029696969700080e-01,6.041367071747624218e-01,3.211343438250462978e-01,2.433114380359228668e-01,-1.915076754549136645e-02,5.685407380537314294e-03,4.075557194895189014e-03,-3.930341547089655219e-02,-1.292582995584570099e-02,1.478792484039914354e-02
5.604039595959600106e-01,6.010870215484598322e-01,3.218097156837715911e-01,2.440625282262706697e-01,-2.503111357395744821e-02,2.793774401257709088e-03,5.600400114968880939e-03,-4.821817283356529676e-02,-2.941367689525942880e-02,2.317662283335522860e-03
7.005049494949500133e-01,5.971229395947914576e-01,3.219171649433876237e-01,2.448806812357979812e-01,-3.266159503569752987e-02,-2.556363118652474863e-03,4.724970755188909015e-03,-6.337347150033108278e-02,-4.768573194199784288e-02,-1.436923858105596495e-02
8.406059393939390167e-01,5.919351779560975135e-01,3.210934176768426296e-01,2.453864743863621578e-01,-4.278848575502106760e-02,-1.056786209700585205e-02,1.574111016367484841e-03,-8.290887756715518975e-02,-6.682810584300963308e-02,-2.576472081221931748e-02
9.807069292929287974e-01,5.851335211736768960e-01,3.189560290615745530e-01,2.453217502590059607e-01,-5.589282667284273254e-02,-2.128173068201271931e-02,-2.494355025337159203e-03,-1.047707926739411682e-01,-8.573099992417555770e-02,-2.575115532191226894e-02
1.120807919191920021e+00,5.762738972658616454e-01,3.151302346062152537e-01,2.446875511699436456e-01,-7.214546928726306430e-02,-3.458985800582030368e-02,-5.641413686917617909e-03,-1.267727591536009224e-01,-1.029959378463354280e-01,-1.464057839970329088e-02
1.260908909090910024e+00,5.649182178459314363e-01,3.092638823674127013e-01,2.437410149750722232e-01,-9.141480477213417832e-02,-5.014139637770558683e-02,-6.596674078321561330e-03,-1.456622127947608258e-01,-1.165449220888018500e-01,7.512344136626144002e-04
1.401009898989900027e+00,5.506592879858638323e-01,3.010805160713468931e-01,2.428391500331159303e-01,-1.129603096941096813e-01,-6.724597591050389400e-02,-5.430916316916978813e-03,-1.562039322733310143e-01,-1.230063952891935070e-01,1.066063649884255171e-02
1.541110888888890029e+00,5.332665154310489708e-01,2.904214267838422514e-01,2.422192614709549330e-01,-1.351834558473510861e-01,-8.460803186555050648e-02,-3.609542625439274028e-03,-1.507738966363250110e-01,-1.177221830272955627e-01,8.223100621735623603e-03
1.681211878787880032e+00,5.127806160215032660e-01,2.773731780358090759e-01,2.418277490433026478e-01,-1.552074540334639208e-01,-1.002319646608922504e-01,-3.126787242628658280e-03,-1.209594695344068521e-01,-9.596618933900329107e-02,-5.556524902919406095e-03
1.821312868686870035e+00,4.897770795314684289e-01,2.623362318468190901e-01,2.413431294951633166e-01,-1.690765386862053132e-01,-1.114979481120070143e-01,-5.166491904034069445e-03,-6.151756064298441462e-02,-5.567886301407717897e-02,-2.121741240494074560e-02
1.961413858585860037e+00,4.654050351442388100e-01,2.461312322314122836e-01,2.403800877831820670e-01,-1.724447963179704391e-01,-1.158332923103371909e-01,-9.071948204683271885e-03,2.447970035146726162e-02,-5.985235757685452565e-04,-2.613782418532238638e-02
2.101514848484849818e+00,4.414577061973137262e-01,2.298795140149444971e-01,2.388011516475863349e-01,-1.622172781828628840e-01,-1.116656556028931269e-01,-1.249036198837292187e-02,1.222450350264072949e-01,5.871512546404420579e-02,-1.324480687020042693e-02
