time,q1,q2,q3,q4,q5,q6,q7
0.000000,0.528533,0.499679,-0.046026,-1.599228,-0.094890,2.107891,0.635442
0.002000,0.528471,0.499705,-0.045934,-1.599179,-0.095261,2.107935,0.643897
0.004000,0.528467,0.499698,-0.045935,-1.599189,-0.095267,2.107933,0.643018
0.006000,0.528387,0.499728,-0.045816,-1.599128,-0.095709,2.107971,0.653648
0.008000,0.528333,0.499756,-0.045725,-1.599070,-0.096010,2.107976,0.663330
0.010000,0.528311,0.499768,-0.045686,-1.599045,-0.096121,2.107976,0.667991
0.012000,0.528280,0.499790,-0.045620,-1.599001,-0.096266,2.107976,0.676959
0.014000,0.528264,0.499808,-0.045572,-1.598965,-0.096310,2.107976,0.685454
0.016000,0.528259,0.499822,-0.045536,-1.598938,-0.096301,2.107976,0.693502
0.018000,0.528259,0.499832,-0.045503,-1.598918,-0.096264,2.107976,0.701116
0.020000,0.528259,0.499839,-0.045469,-1.598905,-0.096202,2.107976,0.708301
0.022000,0.528259,0.499842,-0.045432,-1.598899,-0.096119,2.107976,0.715059
0.024000,0.528259,0.499842,-0.045394,-1.598898,-0.096016,2.107976,0.721393
0.026000,0.528259,0.499842,-0.045354,-1.598898,-0.095894,2.107976,0.727311
0.028000,0.528259,0.499842,-0.045312,-1.598899,-0.095757,2.107976,0.732816
0.030000,0.528259,0.499842,-0.045290,-1.598899,-0.095682,2.107976,0.735414
0.032000,0.528259,0.499842,-0.045223,-1.598900,-0.095437,2.107976,0.742592
0.034000,0.528259,0.499842,-0.045176,-1.598902,-0.095256,2.107976,0.746866
0.036000,0.528259,0.499842,-0.045128,-1.598903,-0.095061,2.107976,0.750733
0.038000,0.528259,0.499842,-0.045078,-1.598905,-0.094856,2.107976,0.754195
0.040000,0.528259,0.499842,-0.045026,-1.598906,-0.094640,2.107976,0.757253
0.042000,0.528259,0.499842,-0.045000,-1.598907,-0.094529,2.107976,0.758631
0.044000,0.528259,0.499842,-0.044919,-1.598910,-0.094182,2.107976,0.762164
0.046000,0.528259,0.499842,-0.044864,-1.598912,-0.093941,2.107976,0.764021
0.048000,0.528259,0.499842,-0.044835,-1.598914,-0.093818,2.107976,0.764800
0.050000,0.528259,0.499842,-0.044778,-1.598916,-0.093567,2.107976,0.766060
0.052000,0.528259,0.499842,-0.044720,-1.598918,-0.093310,2.107976,0.766925
0.054000,0.528259,0.499842,-0.044660,-1.598921,-0.093049,2.107976,0.767396
0.056000,0.528259,0.499842,-0.044599,-1.598923,-0.092783,2.107976,0.767485
0.058000,0.528259,0.499842,-0.044537,-1.598925,-0.092523,2.107976,0.767485
0.060000,0.528259,0.499843,-0.044473,-1.598925,-0.092274,2.107976,0.767485
0.062000,0.528259,0.499843,-0.044408,-1.598925,-0.092034,2.107976,0.767485
0.064000,0.528259,0.499843,-0.044375,-1.598925,-0.091918,2.107976,0.767485
0.066000,0.528259,0.499843,-0.044274,-1.598925,-0.091585,2.107976,0.767485
0.068000,0.528259,0.499843,-0.044204,-1.598925,-0.091375,2.107976,0.767485
0.070000,0.528259,0.499843,-0.044133,-1.598925,-0.091176,2.107976,0.767485
0.072000,0.528259,0.499843,-0.044061,-1.598925,-0.090986,2.107976,0.767485
0.074000,0.528259,0.499843,-0.043987,-1.598925,-0.090807,2.107976,0.767485
0.076000,0.528259,0.499843,-0.043912,-1.598925,-0.090638,2.107976,0.767485
0.078000,0.528259,0.499843,-0.043835,-1.598925,-0.090479,2.107976,0.767485
0.080000,0.528259,0.499843,-0.043757,-1.598925,-0.090330,2.107976,0.767485
0.082000,0.528259,0.499843,-0.043678,-1.598925,-0.090192,2.107976,0.767485
0.084000,0.528259,0.499843,-0.043597,-1.598925,-0.090065,2.107976,0.767485
0.086000,0.528259,0.499843,-0.043515,-1.598925,-0.089948,2.107976,0.767485
0.088000,0.528259,0.499843,-0.043431,-1.598925,-0.089841,2.107976,0.767485
0.090000,0.528259,0.499843,-0.043346,-1.598925,-0.089745,2.107976,0.767485
0.092000,0.528259,0.499843,-0.043259,-1.598925,-0.089659,2.107976,0.767485
