time,x,y,z
0.000000,0.614038,0.309161,0.240136
0.002000,0.614076,0.309145,0.240148
0.004000,0.614075,0.309140,0.240148
0.006000,0.614117,0.309121,0.240163
0.008000,0.614144,0.309114,0.240173
0.010000,0.614153,0.309114,0.240178
0.012000,0.614164,0.309122,0.240184
0.014000,0.614167,0.309140,0.240188
0.016000,0.614164,0.309162,0.240190
0.018000,0.614156,0.309188,0.240191
0.020000,0.614145,0.309217,0.240191
0.022000,0.614130,0.309249,0.240190
0.024000,0.614112,0.309283,0.240187
0.026000,0.614092,0.309320,0.240185
0.028000,0.614070,0.309360,0.240182
0.030000,0.614058,0.309381,0.240180
0.032000,0.614021,0.309448,0.240175
0.034000,0.613995,0.309496,0.240171
0.036000,0.613967,0.309547,0.240166
0.038000,0.613937,0.309599,0.240162
0.040000,0.613907,0.309654,0.240157
0.042000,0.613891,0.309681,0.240154
0.044000,0.613842,0.309768,0.240146
0.046000,0.613809,0.309827,0.240141
0.048000,0.613792,0.309858,0.240138
0.050000,0.613757,0.309920,0.240133
0.052000,0.613721,0.309983,0.240127
0.054000,0.613685,0.310047,0.240121
0.056000,0.613648,0.310113,0.240115
0.058000,0.613611,0.310178,0.240109
0.060000,0.613575,0.310244,0.240104
0.062000,0.613540,0.310309,0.240099
0.064000,0.613522,0.310342,0.240097
0.066000,0.613469,0.310439,0.240091
0.068000,0.613434,0.310504,0.240086
0.070000,0.613399,0.310568,0.240082
0.072000,0.613365,0.310632,0.240078
0.074000,0.613331,0.310695,0.240075
0.076000,0.613297,0.310758,0.240071
0.078000,0.613263,0.310821,0.240067
0.080000,0.613230,0.310883,0.240064
0.082000,0.613197,0.310945,0.240060
0.084000,0.613164,0.311006,0.240057
0.086000,0.613132,0.311067,0.240054
0.088000,0.613100,0.311128,0.240051
0.090000,0.613068,0.311188,0.240048
0.092000,0.613037,0.311248,0.240045
0.094000,0.613006,0.311307,0.240042
0.096000,0.612975,0.311366,0.240040
0.098000,0.612944,0.311425,0.240037
0.100000,0.612914,0.311483,0.240035
0.102000,0.612884,0.311540,0.240033
0.104000,0.612855,0.311598,0.240031
0.106000,0.612825,0.311654,0.240029
0.108000,0.612796,0.311711,0.240027
0.110000,0.612767,0.311768,0.240025
0.112000,0.612752,0.311796,0.240024
0.114000,0.612707,0.311883,0.240021
0.116000,0.612692,0.311913,0.240020
0.118000,0.612662,0.311972,0.240018
0.120000,0.612631,0.312032,0.240016
0.122000,0.612600,0.312093,0.240014
0.124000,0.612568,0.312154,0.240012
0.126000,0.612537,0.312216,0.240010
0.128000,0.612505,0.312278,0.240008
0.130000,0.612472,0.312341,0.240006
0.132000,0.612440,0.312404,0.240004
0.134000,0.612407,0.312468,0.240002
0.136000,0.612374,0.312532,0.240000
0.138000,0.612340,0.312597,0.239998
0.140000,0.612307,0.312662,0.239996
0.142000,0.612273,0.312728,0.239994
0.144000,0.612239,0.312794,0.239992
0.146000,0.612205,0.312860,0.239989
0.148000,0.612170,0.312927,0.239987
0.150000,0.612136,0.312994,0.239985
0.152000,0.612101,0.313061,0.239983
0.154000,0.612066,0.313129,0.239981
0.156000,0.612031,0.313197,0.239979
0.158000,0.611995,0.313265,0.239977
0.160000,0.611960,0.313334,0.239974
0.162000,0.611924,0.313403,0.239972
0.164000,0.611907,0.313437,0.239971
0.166000,0.611853,0.313541,0.239968
0.168000,0.611817,0.313611,0.239966
0.170000,0.611781,0.313680,0.239964
0.172000,0.611745,0.313750,0.239961
0.174000,0.611708,0.313820,0.239959
0.176000,0.611672,0.313890,0.239957
0.178000,0.611654,0.313926,0.239956
0.180000,0.611617,0.313996,0.239954
0.182000,0.611581,0.314067,0.239952
0.184000,0.611544,0.314137,0.239949
0.186000,0.611507,0.314208,0.239947
0.188000,0.611471,0.314279,0.239945
0.190000,0.611434,0.314350,0.239943
0.192000,0.611397,0.314421,0.239941
0.194000,0.611360,0.314492,0.239939
0.196000,0.611323,0.314563,0.239937
0.198000,0.611286,0.314634,0.239934
0.200000,0.611249,0.314705,0.239932
0.202000,0.611213,0.314776,0.239930
0.204000,0.611176,0.314847,0.239928
0.206000,0.611139,0.314918,0.239926
0.208000,0.611102,0.314989,0.239924
0.210000,0.611065,0.315060,0.239922
0.212000,0.611028,0.315130,0.239920
0.214000,0.610992,0.315201,0.239918
0.216000,0.610955,0.315271,0.239916
0.218000,0.610918,0.315342,0.239914
0.220000,0.610882,0.315412,0.239912
0.222000,0.610845,0.315482,0.239910
0.224000,0.610809,0.315552,0.239908
0.226000,0.610773,0.315622,0.239906
0.228000,0.610736,0.315691,0.239904
0.230000,0.610718,0.315726,0.239904
0.232000,0.610682,0.315795,0.239902
0.234000,0.610646,0.315865,0.239900
0.236000,0.610610,0.315933,0.239898
0.238000,0.610574,0.316002,0.239896
0.240000,0.610539,0.316071,0.239895
0.242000,0.610503,0.316139,0.239893
0.244000,0.610468,0.316207,0.239891
0.246000,0.610432,0.316275,0.239890
0.248000,0.610397,0.316343,0.239888
0.250000,0.610362,0.316410,0.239886
0.252000,0.610327,0.316477,0.239885
0.254000,0.610292,0.316544,0.239883
0.256000,0.610257,0.316611,0.239882
0.258000,0.610222,0.316677,0.239880
0.260000,0.610188,0.316743,0.239879
0.262000,0.610154,0.316809,0.239877
0.264000,0.610119,0.316874,0.239876
0.266000,0.610085,0.316939,0.239875
0.268000,0.610051,0.317004,0.239873
0.270000,0.610018,0.317069,0.239872
0.272000,0.609984,0.317133,0.239871
0.274000,0.609951,0.317197,0.239869
0.276000,0.609917,0.317260,0.239868
0.278000,0.609884,0.317324,0.239867
0.280000,0.609851,0.317387,0.239866
0.282000,0.609818,0.317449,0.239865
0.284000,0.609786,0.317512,0.239864
0.286000,0.609753,0.317574,0.239862
0.288000,0.609721,0.317635,0.239861
0.290000,0.609689,0.317697,0.239860
0.292000,0.609657,0.317758,0.239859
0.294000,0.609625,0.317818,0.239858
0.296000,0.609594,0.317879,0.239858
0.298000,0.609562,0.317939,0.239857
0.300000,0.609531,0.317998,0.239856
0.302000,0.609500,0.318058,0.239855
0.304000,0.609469,0.318117,0.239854
0.306000,0.609438,0.318175,0.239853
0.308000,0.609408,0.318234,0.239853
0.310000,0.609377,0.318292,0.239852
0.312000,0.609347,0.318349,0.239851
0.314000,0.609317,0.318406,0.239851
0.316000,0.609287,0.318463,0.239850
0.318000,0.609272,0.318491,0.239849
0.320000,0.609243,0.318548,0.239849
0.322000,0.609213,0.318604,0.239848
0.324000,0.609184,0.318659,0.239848
0.326000,0.609155,0.318715,0.239847
0.328000,0.609126,0.318769,0.239846
0.330000,0.609097,0.318824,0.239845
0.332000,0.609069,0.318878,0.239845
0.334000,0.609040,0.318932,0.239844
0.336000,0.609012,0.318985,0.239843
0.338000,0.608984,0.319038,0.239843
0.340000,0.608955,0.319091,0.239842
0.342000,0.608928,0.319143,0.239841
0.344000,0.608900,0.319195,0.239840
0.346000,0.608872,0.319247,0.239839
0.348000,0.608845,0.319298,0.239838
0.350000,0.608817,0.319349,0.239837
0.352000,0.608790,0.319400,0.239836
0.354000,0.608763,0.319450,0.239835
0.356000,0.608736,0.319499,0.239834
0.358000,0.608709,0.319549,0.239833
0.360000,0.608682,0.319598,0.239832
0.362000,0.608656,0.319647,0.239831
0.364000,0.608629,0.319696,0.239829
0.366000,0.608602,0.319745,0.239828
0.368000,0.608575,0.319793,0.239826
0.370000,0.608548,0.319842,0.239825
0.372000,0.608522,0.319890,0.239823
0.374000,0.608495,0.319938,0.239821
0.376000,0.608468,0.319986,0.239819
0.378000,0.608442,0.320034,0.239817
0.380000,0.608415,0.320081,0.239815
0.382000,0.608388,0.320129,0.239813
0.384000,0.608362,0.320176,0.239811
0.386000,0.608335,0.320223,0.239809
0.388000,0.608322,0.320247,0.239808
0.390000,0.608295,0.320294,0.239805
0.392000,0.608268,0.320340,0.239803
0.394000,0.608242,0.320387,0.239800
0.396000,0.608215,0.320433,0.239797
0.398000,0.608188,0.320479,0.239794
0.400000,0.608162,0.320525,0.239791
0.402000,0.608135,0.320571,0.239788
0.404000,0.608108,0.320617,0.239785
0.406000,0.608082,0.320662,0.239782
0.408000,0.608055,0.320707,0.239778
0.410000,0.608029,0.320752,0.239775
0.412000,0.608002,0.320797,0.239771
0.414000,0.607975,0.320842,0.239767
0.416000,0.607949,0.320886,0.239763
0.418000,0.607922,0.320930,0.239759
0.420000,0.607896,0.320974,0.239755
0.422000,0.607869,0.321018,0.239751
0.424000,0.607842,0.321062,0.239746
0.426000,0.607815,0.321105,0.239742
0.428000,0.607788,0.321148,0.239737
0.430000,0.607775,0.321170,0.239735
0.432000,0.607734,0.321233,0.239727
0.434000,0.607707,0.321276,0.239722
0.436000,0.607680,0.321317,0.239717
0.438000,0.607652,0.321359,0.239712
0.440000,0.607624,0.321400,0.239706
0.442000,0.607596,0.321441,0.239700
0.444000,0.607568,0.321482,0.239694
0.446000,0.607554,0.321502,0.239691
0.448000,0.607525,0.321542,0.239685
0.450000,0.607496,0.321581,0.239679
0.452000,0.607467,0.321621,0.239673
0.454000,0.607438,0.321659,0.239666
0.456000,0.607408,0.321698,0.239659
0.458000,0.607379,0.321736,0.239652
0.460000,0.607349,0.321774,0.239645
0.462000,0.607318,0.321811,0.239638
0.464000,0.607288,0.321848,0.239631
0.466000,0.607257,0.321884,0.239623
0.468000,0.607226,0.321921,0.239615
0.470000,0.607194,0.321956,0.239608
0.472000,0.607163,0.321992,0.239600
0.474000,0.607131,0.322027,0.239592
0.476000,0.607098,0.322061,0.239583
0.478000,0.607066,0.322095,0.239575
0.480000,0.607033,0.322129,0.239566
0.482000,0.607000,0.322163,0.239558
0.484000,0.606967,0.322196,0.239549
0.486000,0.606934,0.322228,0.239540
0.488000,0.606900,0.322260,0.239531
0.490000,0.606866,0.322292,0.239522
0.492000,0.606832,0.322324,0.239513
0.494000,0.606797,0.322355,0.239504
0.496000,0.606763,0.322386,0.239494
0.498000,0.606728,0.322416,0.239485
0.500000,0.606693,0.322446,0.239475
0.502000,0.606657,0.322475,0.239466
0.504000,0.606621,0.322505,0.239456
0.506000,0.606586,0.322533,0.239446
0.508000,0.606550,0.322562,0.239436
0.510000,0.606513,0.322590,0.239426
0.512000,0.606477,0.322618,0.239416
0.514000,0.606440,0.322645,0.239406
0.516000,0.606403,0.322672,0.239396
0.518000,0.606366,0.322699,0.239386
0.520000,0.606329,0.322725,0.239376
0.522000,0.606291,0.322751,0.239365
0.524000,0.606253,0.322776,0.239355
0.526000,0.606215,0.322802,0.239344
0.528000,0.606177,0.322827,0.239334
0.530000,0.606158,0.322839,0.239329
0.532000,0.606100,0.322875,0.239313
0.534000,0.606061,0.322899,0.239302
0.536000,0.606042,0.322911,0.239297
0.538000,0.605983,0.322946,0.239281
0.540000,0.605964,0.322957,0.239276
0.542000,0.605924,0.322980,0.239265
0.544000,0.605885,0.323002,0.239255
0.546000,0.605845,0.323024,0.239244
0.548000,0.605805,0.323046,0.239233
0.550000,0.605765,0.323067,0.239223
0.552000,0.605725,0.323089,0.239212
0.554000,0.605684,0.323109,0.239201
0.556000,0.605644,0.323130,0.239190
0.558000,0.605603,0.323150,0.239179
0.560000,0.605563,0.323170,0.239169
0.562000,0.605522,0.323190,0.239158
0.564000,0.605481,0.323209,0.239147
0.566000,0.605440,0.323228,0.239136
0.568000,0.605398,0.323247,0.239125
0.570000,0.605357,0.323266,0.239114
0.572000,0.605315,0.323284,0.239103
0.574000,0.605273,0.323302,0.239092
0.576000,0.605231,0.323319,0.239081
0.578000,0.605189,0.323336,0.239070
0.580000,0.605146,0.323353,0.239059
0.582000,0.605104,0.323370,0.239048
0.584000,0.605061,0.323386,0.239037
0.586000,0.605039,0.323394,0.239031
0.588000,0.604996,0.323410,0.239020
0.590000,0.604952,0.323425,0.239009
0.592000,0.604908,0.323440,0.238998
0.594000,0.604864,0.323455,0.238987
0.596000,0.604819,0.323469,0.238976
0.598000,0.604775,0.323483,0.238964
0.600000,0.604730,0.323496,0.238953
0.602000,0.604684,0.323509,0.238942
0.604000,0.604639,0.323522,0.238930
0.606000,0.604593,0.323535,0.238919
0.608000,0.604547,0.323547,0.238908
0.610000,0.604500,0.323559,0.238897
0.612000,0.604454,0.323570,0.238885
0.614000,0.604407,0.323581,0.238874
0.616000,0.604359,0.323592,0.238863
0.618000,0.604312,0.323602,0.238851
0.620000,0.604264,0.323612,0.238840
0.622000,0.604216,0.323622,0.238829
0.624000,0.604167,0.323631,0.238818
0.626000,0.604119,0.323640,0.238807
0.628000,0.604070,0.323648,0.238796
0.630000,0.604045,0.323653,0.238790
0.632000,0.603996,0.323661,0.238779
0.634000,0.603946,0.323668,0.238768
0.636000,0.603897,0.323676,0.238757
0.638000,0.603846,0.323683,0.238746
0.640000,0.603796,0.323690,0.238735
0.642000,0.603745,0.323696,0.238724
0.644000,0.603694,0.323702,0.238713
0.646000,0.603643,0.323708,0.238702
0.648000,0.603592,0.323714,0.238692
0.650000,0.603540,0.323719,0.238681
0.652000,0.603488,0.323724,0.238670
0.654000,0.603436,0.323728,0.238660
0.656000,0.603383,0.323732,0.238649
0.658000,0.603330,0.323736,0.238639
0.660000,0.603277,0.323740,0.238629
0.662000,0.603224,0.323743,0.238619
0.664000,0.603171,0.323746,0.238608
0.666000,0.603117,0.323749,0.238598
0.668000,0.603063,0.323751,0.238588
0.670000,0.603009,0.323754,0.238579
0.672000,0.602955,0.323756,0.238569
0.674000,0.602900,0.323757,0.238559
0.676000,0.602845,0.323759,0.238550
0.678000,0.602790,0.323760,0.238540
0.680000,0.602735,0.323761,0.238531
0.682000,0.602680,0.323761,0.238522
0.684000,0.602624,0.323762,0.238513
0.686000,0.602596,0.323762,0.238508
0.688000,0.602540,0.323762,0.238499
0.690000,0.602484,0.323761,0.238491
0.692000,0.602428,0.323761,0.238482
0.694000,0.602371,0.323760,0.238473
0.696000,0.602315,0.323759,0.238465
0.698000,0.602258,0.323757,0.238457
0.700000,0.602200,0.323756,0.238449
0.702000,0.602143,0.323754,0.238441
0.704000,0.602085,0.323752,0.238433
0.706000,0.602028,0.323750,0.238425
0.708000,0.601969,0.323747,0.238418
0.710000,0.601911,0.323744,0.238410
0.712000,0.601852,0.323741,0.238403
0.714000,0.601794,0.323738,0.238396
0.716000,0.601734,0.323734,0.238389
0.718000,0.601675,0.323730,0.238382
0.720000,0.601615,0.323725,0.238375
0.722000,0.601555,0.323721,0.238368
0.724000,0.601494,0.323716,0.238362
0.726000,0.601433,0.323711,0.238355
0.728000,0.601372,0.323705,0.238349
0.730000,0.601342,0.323702,0.238346
0.732000,0.601249,0.323693,0.238336
0.734000,0.601187,0.323686,0.238330
0.736000,0.601124,0.323679,0.238325
0.738000,0.601061,0.323672,0.238319
0.740000,0.600997,0.323664,0.238313
0.742000,0.600934,0.323656,0.238307
0.744000,0.600869,0.323648,0.238302
0.746000,0.600805,0.323639,0.238297
0.748000,0.600740,0.323630,0.238291
0.750000,0.600675,0.323621,0.238286
0.752000,0.600609,0.323611,0.238281
0.754000,0.600543,0.323601,0.238277
0.756000,0.600477,0.323591,0.238272
0.758000,0.600410,0.323580,0.238267
0.760000,0.600343,0.323569,0.238263
0.762000,0.600275,0.323558,0.238258
0.764000,0.600207,0.323546,0.238254
0.766000,0.600139,0.323534,0.238250
0.768000,0.600070,0.323522,0.238246
0.770000,0.600001,0.323510,0.238242
0.772000,0.599932,0.323497,0.238239
0.774000,0.599862,0.323483,0.238235
0.776000,0.599792,0.323470,0.238232
0.778000,0.599721,0.323456,0.238228
0.780000,0.599686,0.323449,0.238227
0.782000,0.599579,0.323427,0.238222
0.784000,0.599508,0.323413,0.238220
0.786000,0.599436,0.323397,0.238217
0.788000,0.599364,0.323382,0.238214
0.790000,0.599327,0.323374,0.238213
0.792000,0.599255,0.323358,0.238211
0.794000,0.599181,0.323342,0.238209
0.796000,0.599108,0.323326,0.238207
0.798000,0.599034,0.323309,0.238205
0.800000,0.598960,0.323292,0.238203
0.802000,0.598885,0.323275,0.238201
