time,q1,q2,q3,q4,q5,q6,q7
0.000000,0.527983,0.499604,-0.046317,-1.599119,-0.095051,2.107872,0.634368
0.002000,0.527952,0.499614,-0.046270,-1.599096,-0.095264,2.107875,0.638977
0.004000,0.527951,0.499612,-0.046265,-1.599100,-0.095281,2.107877,0.638819
0.006000,0.527914,0.499624,-0.046207,-1.599073,-0.095546,2.107884,0.644580
0.008000,0.527823,0.499667,-0.046066,-1.598979,-0.096307,2.107884,0.664462
0.010000,0.527803,0.499685,-0.046029,-1.598943,-0.096584,2.107884,0.673712
0.012000,0.527800,0.499700,-0.046013,-1.598913,-0.096793,2.107884,0.682505
0.014000,0.527805,0.499713,-0.046008,-1.598889,-0.096940,2.107884,0.690845
0.016000,0.527814,0.499724,-0.046008,-1.598871,-0.097028,2.107884,0.698736
0.018000,0.527822,0.499732,-0.046008,-1.598859,-0.097060,2.107884,0.706183
0.020000,0.527830,0.499738,-0.046008,-1.598852,-0.097060,2.107884,0.713197
0.022000,0.527838,0.499742,-0.046008,-1.598850,-0.097060,2.107884,0.719796
0.024000,0.527846,0.499744,-0.046008,-1.598850,-0.097060,2.107884,0.725983
0.026000,0.527854,0.499746,-0.046008,-1.598852,-0.097060,2.107884,0.731760
0.028000,0.527862,0.499747,-0.046008,-1.598856,-0.097060,2.107884,0.737128
0.030000,0.527871,0.499747,-0.046008,-1.598861,-0.097060,2.107884,0.742089
0.032000,0.527875,0.499747,-0.046008,-1.598864,-0.097060,2.107884,0.744418
0.034000,0.527883,0.499747,-0.046008,-1.598870,-0.097060,2.107884,0.748773
0.036000,0.527891,0.499747,-0.046008,-1.598877,-0.097060,2.107884,0.752724
0.038000,0.527899,0.499747,-0.046007,-1.598884,-0.097060,2.107884,0.756274
0.040000,0.527906,0.499747,-0.046006,-1.598892,-0.097060,2.107884,0.759423
0.042000,0.527914,0.499747,-0.046005,-1.598900,-0.097060,2.107884,0.762172
0.044000,0.527922,0.499747,-0.046004,-1.598909,-0.097060,2.107884,0.764523
0.046000,0.527930,0.499747,-0.046003,-1.598918,-0.097060,2.107884,0.766478
0.048000,0.527937,0.499747,-0.046001,-1.598928,-0.097060,2.107884,0.768036
0.050000,0.527944,0.499747,-0.045999,-1.598939,-0.097060,2.107884,0.769199
0.052000,0.527952,0.499747,-0.045997,-1.598950,-0.097060,2.107884,0.769969
0.054000,0.527959,0.499747,-0.045994,-1.598961,-0.097060,2.107884,0.770347
0.056000,0.527965,0.499747,-0.045991,-1.598973,-0.097060,2.107884,0.770388
0.058000,0.527971,0.499747,-0.045987,-1.598985,-0.097060,2.107884,0.770388
0.060000,0.527976,0.499747,-0.045981,-1.598997,-0.097060,2.107884,0.770388
0.062000,0.527981,0.499748,-0.045973,-1.599008,-0.097060,2.107884,0.770388
0.064000,0.527982,0.499748,-0.045969,-1.599014,-0.097060,2.107884,0.770388
0.066000,0.527986,0.499750,-0.045954,-1.599031,-0.097060,2.107884,0.770388
