time,x,y,z
0.000000,0.614339,0.308655,0.240244
0.002000,0.614356,0.308642,0.240250
0.004000,0.614355,0.308643,0.240251
0.006000,0.614376,0.308627,0.240258
0.008000,0.614439,0.308578,0.240280
0.010000,0.614462,0.308560,0.240288
0.012000,0.614480,0.308547,0.240294
0.014000,0.614493,0.308540,0.240298
0.016000,0.614501,0.308537,0.240300
0.018000,0.614503,0.308540,0.240301
0.020000,0.614502,0.308546,0.240300
0.022000,0.614500,0.308551,0.240298
0.024000,0.614497,0.308556,0.240296
0.026000,0.614494,0.308560,0.240294
0.028000,0.614491,0.308565,0.240292
0.030000,0.614487,0.308569,0.240290
0.032000,0.614485,0.308571,0.240288
0.034000,0.614480,0.308575,0.240285
0.036000,0.614476,0.308579,0.240282
0.038000,0.614471,0.308583,0.240279
0.040000,0.614466,0.308587,0.240275
0.042000,0.614461,0.308591,0.240272
0.044000,0.614456,0.308595,0.240267
0.046000,0.614451,0.308599,0.240263
0.048000,0.614445,0.308603,0.240258
0.050000,0.614439,0.308606,0.240254
0.052000,0.614433,0.308610,0.240248
0.054000,0.614427,0.308614,0.240243
0.056000,0.614420,0.308618,0.240237
0.058000,0.614414,0.308623,0.240232
0.060000,0.614407,0.308627,0.240226
0.062000,0.614400,0.308632,0.240220
0.064000,0.614396,0.308635,0.240217
0.066000,0.614386,0.308643,0.240208
0.068000,0.614379,0.308649,0.240201
0.070000,0.614372,0.308655,0.240195
0.072000,0.614364,0.308662,0.240189
0.074000,0.614357,0.308669,0.240182
0.076000,0.614353,0.308672,0.240179
0.078000,0.614342,0.308683,0.240169
0.080000,0.614338,0.308686,0.240166
0.082000,0.614326,0.308698,0.240156
0.084000,0.614323,0.308702,0.240153
0.086000,0.614315,0.308710,0.240146
0.088000,0.614307,0.308718,0.240139
0.090000,0.614299,0.308726,0.240132
0.092000,0.614291,0.308734,0.240125
0.094000,0.614283,0.308743,0.240118
0.096000,0.614279,0.308748,0.240114
0.098000,0.614267,0.308761,0.240103
0.100000,0.614259,0.308771,0.240096
0.102000,0.614251,0.308780,0.240088
0.104000,0.614242,0.308790,0.240081
0.106000,0.614234,0.308800,0.240073
0.108000,0.614226,0.308810,0.240066
0.110000,0.614217,0.308821,0.240058
0.112000,0.614209,0.308831,0.240050
0.114000,0.614200,0.308842,0.240043
0.116000,0.614191,0.308853,0.240035
0.118000,0.614183,0.308864,0.240027
0.120000,0.614174,0.308876,0.240019
0.122000,0.614165,0.308887,0.240011
0.124000,0.614156,0.308899,0.240002
0.126000,0.614147,0.308911,0.239994
0.128000,0.614138,0.308924,0.239986
0.130000,0.614129,0.308936,0.239977
0.132000,0.614120,0.308949,0.239969
0.134000,0.614111,0.308961,0.239960
0.136000,0.614102,0.308974,0.239952
0.138000,0.614092,0.308988,0.239943
0.140000,0.614083,0.309001,0.239934
0.142000,0.614073,0.309015,0.239926
0.144000,0.614064,0.309029,0.239917
0.146000,0.614054,0.309043,0.239908
0.148000,0.614045,0.309057,0.239899
0.150000,0.614040,0.309064,0.239894
0.152000,0.614030,0.309078,0.239885
0.154000,0.614020,0.309093,0.239876
0.156000,0.614010,0.309108,0.239867
0.158000,0.614000,0.309123,0.239857
0.160000,0.613990,0.309138,0.239848
0.162000,0.613980,0.309154,0.239839
0.164000,0.613970,0.309170,0.239829
0.166000,0.613960,0.309185,0.239819
0.168000,0.613950,0.309201,0.239810
0.170000,0.613939,0.309218,0.239800
0.172000,0.613929,0.309234,0.239790
0.174000,0.613919,0.309251,0.239780
0.176000,0.613908,0.309267,0.239770
0.178000,0.613897,0.309284,0.239760
0.180000,0.613887,0.309302,0.239750
0.182000,0.613876,0.309319,0.239740
0.184000,0.613865,0.309336,0.239730
0.186000,0.613854,0.309354,0.239719
0.188000,0.613843,0.309372,0.239709
0.190000,0.613832,0.309390,0.239699
0.192000,0.613821,0.309408,0.239688
0.194000,0.613810,0.309427,0.239677
0.196000,0.613799,0.309446,0.239667
0.198000,0.613787,0.309464,0.239656
0.200000,0.613776,0.309483,0.239645
0.202000,0.613764,0.309503,0.239634
0.204000,0.613753,0.309522,0.239623
0.206000,0.613741,0.309541,0.239612
0.208000,0.613730,0.309561,0.239601
0.210000,0.613718,0.309581,0.239590
0.212000,0.613706,0.309601,0.239579
0.214000,0.613694,0.309621,0.239568
0.216000,0.613682,0.309642,0.239556
0.218000,0.613670,0.309662,0.239545
0.220000,0.613658,0.309683,0.239533
0.222000,0.613645,0.309704,0.239522
0.224000,0.613633,0.309725,0.239510
0.226000,0.613620,0.309746,0.239498
0.228000,0.613614,0.309757,0.239493
0.230000,0.613601,0.309779,0.239481
0.232000,0.613589,0.309800,0.239469
0.234000,0.613576,0.309822,0.239457
0.236000,0.613563,0.309844,0.239445
0.238000,0.613550,0.309866,0.239432
0.240000,0.613537,0.309888,0.239420
0.242000,0.613524,0.309911,0.239408
0.244000,0.613510,0.309934,0.239396
0.246000,0.613497,0.309956,0.239383
0.248000,0.613483,0.309979,0.239371
0.250000,0.613470,0.310002,0.239358
0.252000,0.613456,0.310026,0.239345
0.254000,0.613442,0.310049,0.239332
0.256000,0.613428,0.310073,0.239320
0.258000,0.613414,0.310096,0.239307
0.260000,0.613400,0.310120,0.239294
0.262000,0.613386,0.310144,0.239281
0.264000,0.613372,0.310169,0.239268
0.266000,0.613358,0.310193,0.239254
0.268000,0.613343,0.310217,0.239241
0.270000,0.613329,0.310242,0.239228
0.272000,0.613314,0.310267,0.239214
0.274000,0.613299,0.310292,0.239201
0.276000,0.613292,0.310305,0.239194
0.278000,0.613277,0.310330,0.239181
0.280000,0.613262,0.310355,0.239167
0.282000,0.613247,0.310381,0.239153
