time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.078802733569093730e-01,1.037920198875501472e-03,4.842577051594794679e-01,-5.564479203268100211e-06,-3.165293989515455915e-05,-1.413280438509576613e-05,-2.312963397293145884e-05,8.293524467526259929e-05,-9.970770670629537093e-05
1.004199999999999954e-01,3.078795419697724634e-01,1.034981999146262393e-03,4.842555989245869164e-01,-9.010930526153609820e-06,-2.690081742396993595e-05,-2.784118585395264331e-05,-3.434121111036334391e-05,4.735121019165310573e-05,-1.365933761714252927e-04
2.007999999999999785e-01,3.078779346152035745e-01,1.030691481416756965e-03,4.842533004146364339e-01,-2.302114966778019228e-05,-5.860253737074816547e-05,-1.796454766919718305e-05,-1.396009541902457562e-04,-3.158830214791614240e-04,9.841302986382855400e-05
3.011599999999999833e-01,3.078725382817723566e-01,1.018266529953116856e-03,4.842562718975537139e-01,-8.451939463148850653e-05,-1.890074482486886432e-04,7.718158723517119400e-05,-6.127822549506828278e-04,-1.299383671706144140e-03,9.480573491316268003e-04
4.015199999999999880e-01,3.078548463203108487e-01,9.831099085552135082e-04,4.842782303366659491e-01,-2.680539201113892912e-04,-5.116094148623741636e-04,3.604160008693912151e-04,-1.828779023714361416e-03,-3.214478082581347790e-03,2.822210987790538510e-03
5.018799999999999928e-01,3.078137987566614275e-01,9.103891470926235097e-04,4.843347412518088646e-01,-5.499602729164931696e-04,-9.376024192988704174e-04,7.657587714681197023e-04,-2.808977892926486919e-03,-4.244689486762741500e-03,4.038925942391129176e-03
6.022499999999999520e-01,3.077334925107780839e-01,7.824167510239125184e-04,4.844410355911693555e-01,-1.050418484820470890e-03,-1.612688681876580515e-03,1.352522327456057594e-03,-4.986677453642474403e-03,-6.726710372185769511e-03,5.846643187514608334e-03
7.026200000000000223e-01,3.075799784195765718e-01,5.644084014861668703e-04,4.846183555779628449e-01,-2.008878931835985510e-03,-2.731879138120633412e-03,2.181189615682508492e-03,-9.550314067495801335e-03,-1.115186379548285117e-02,8.257026030302707167e-03
8.029800000000000271e-01,3.073200616024968079e-01,2.399294364009600731e-04,4.848645286857515280e-01,-3.170859558709438787e-03,-3.734482691434485527e-03,2.724658093890012980e-03,-1.157823461734096976e-02,-9.990165842680379105e-03,5.415241357979222112e-03
9.033600000000000518e-01,3.069252439025959012e-01,-1.804948899238156660e-04,4.851520604736820896e-01,-4.697244013432926371e-03,-4.643921175975096113e-03,3.005403877213947122e-03,-1.520923578614472201e-02,-9.061848279159786385e-03,2.797413719280266754e-03
