time,q1,q2,q3,q4,q5,q6,q7
0.007287,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571040,0.785398
0.009331,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571040,0.785398
0.011240,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571059,0.785398
0.013272,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571104,0.785398
0.015277,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571175,0.785398
0.017343,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571219,0.785398
0.019349,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571388,0.785398
0.021391,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571530,0.785398
0.023221,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571694,0.785398
0.025235,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.571881,0.785398
0.027271,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.572089,0.785398
0.029232,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.572318,0.785398
0.031241,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.572567,0.785398
0.033206,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.572836,0.785398
0.035273,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.573123,0.785398
0.037324,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.573274,0.785398
0.039395,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.573753,0.785398
0.041342,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.574095,0.785398
0.043280,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.574452,0.785398
0.045260,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.574826,0.785398
0.047297,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.575214,0.785398
0.049332,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.575414,0.785398
0.051279,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.576035,0.785398
0.053337,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.576466,0.785398
0.055274,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.576910,0.785398
0.057311,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.577136,0.785398
0.059292,-0.000001,-0.781335,0.000000,-2.424865,-0.000010,1.577597,0.785398
0.061310,-0.000001,-0.781335,0.000000,-2.424864,-0.000010,1.578310,0.785398
