time,x,y,z
0.007287,0.297547,-0.000002,0.453607
0.009331,0.297547,-0.000002,0.453607
0.011240,0.297551,-0.000002,0.453608
0.013272,0.297561,-0.000002,0.453611
0.015277,0.297576,-0.000002,0.453616
0.017343,0.297586,-0.000002,0.453620
0.019349,0.297622,-0.000002,0.453632
0.021391,0.297653,-0.000002,0.453642
0.023221,0.297689,-0.000002,0.453654
0.025235,0.297729,-0.000002,0.453668
0.027271,0.297774,-0.000002,0.453683
0.029232,0.297823,-0.000002,0.453700
0.031241,0.297877,-0.000002,0.453718
0.033206,0.297935,-0.000002,0.453737
0.035273,0.297997,-0.000002,0.453758
0.037324,0.298030,-0.000002,0.453769
0.039395,0.298134,-0.000002,0.453804
0.041342,0.298207,-0.000002,0.453829
0.043280,0.298285,-0.000002,0.453855
0.045260,0.298365,-0.000002,0.453883
0.047297,0.298449,-0.000002,0.453911
0.049332,0.298492,-0.000002,0.453926
0.051279,0.298626,-0.000002,0.453972
0.053337,0.298719,-0.000002,0.454003
0.055274,0.298815,-0.000002,0.454036
0.057311,0.298864,-0.000002,0.454053
0.059292,0.298963,-0.000002,0.454087
0.061310,0.299117,-0.000002,0.454140
0.063250,0.299223,-0.000002,0.454176
0.065257,0.299276,-0.000002,0.454195
0.067353,0.299439,-0.000002,0.454251
0.069276,0.299550,-0.000002,0.454290
0.071303,0.299606,-0.000002,0.454310
0.073353,0.299776,-0.000002,0.454370
0.075298,0.299833,-0.000002,0.454391
0.077271,0.299949,-0.000002,0.454432
0.079284,0.300066,-0.000002,0.454474
0.081267,0.300184,-0.000002,0.454517
0.083292,0.300302,-0.000002,0.454560
0.085264,0.300421,-0.000002,0.454605
0.087273,0.300541,-0.000002,0.454649
0.089263,0.300661,-0.000002,0.454694
0.091272,0.300781,-0.000002,0.454740
0.093265,0.300901,-0.000002,0.454786
0.095261,0.301022,-0.000002,0.454833
0.097262,0.301142,-0.000002,0.454880
0.099260,0.301262,-0.000002,0.454928
0.101265,0.301382,-0.000002,0.454976
0.103274,0.301501,-0.000002,0.455025
0.105315,0.301620,-0.000002,0.455074
0.107334,0.301738,-0.000002,0.455123
0.109392,0.301855,-0.000002,0.455173
0.111300,0.301972,-0.000002,0.455223
0.113485,0.302087,-0.000002,0.455273
0.115410,0.302202,-0.000002,0.455324
0.117369,0.302316,-0.000002,0.455374
0.119464,0.302428,-0.000002,0.455426
0.121227,0.302539,-0.000002,0.455477
0.123290,0.302649,-0.000002,0.455529
0.125290,0.302757,-0.000002,0.455580
0.127295,0.302811,-0.000002,0.455606
0.129329,0.302969,-0.000002,0.455684
0.131516,0.303073,-0.000002,0.455737
0.133320,0.303175,-0.000002,0.455789
0.135335,0.303275,-0.000002,0.455842
0.137259,0.303325,-0.000002,0.455868
0.139326,0.303470,-0.000002,0.455947
0.141218,0.303565,-0.000002,0.456000
0.143244,0.303612,-0.000002,0.456027
0.145365,0.303704,-0.000002,0.456080
0.147497,0.303838,-0.000002,0.456159
0.149304,0.303881,-0.000002,0.456186
0.151307,0.303967,-0.000002,0.456239
0.153304,0.304051,-0.000002,0.456292
0.155300,0.304132,-0.000002,0.456345
0.157267,0.304212,-0.000002,0.456399
0.159273,0.304289,-0.000002,0.456452
0.161338,0.304364,-0.000002,0.456505
0.163301,0.304437,-0.000002,0.456558
0.165302,0.304507,-0.000002,0.456612
0.167310,0.304575,-0.000002,0.456665
0.169289,0.304641,-0.000002,0.456718
0.171286,0.304705,-0.000002,0.456771
0.173278,0.304766,-0.000002,0.456824
0.175298,0.304825,-0.000002,0.456877
0.177264,0.304882,-0.000002,0.456930
0.179258,0.304937,-0.000002,0.456983
0.181330,0.304989,-0.000002,0.457035
0.183292,0.305038,-0.000002,0.457088
0.185262,0.305086,-0.000002,0.457141
0.187279,0.305131,-0.000002,0.457193
0.189283,0.305174,-0.000002,0.457246
0.191255,0.305215,-0.000002,0.457298
0.193319,0.305253,-0.000002,0.457350
0.195250,0.305289,-0.000002,0.457403
0.197307,0.305323,-0.000002,0.457455
0.199368,0.305354,-0.000002,0.457507
0.201287,0.305369,-0.000002,0.457533
0.203306,0.305398,-0.000002,0.457585
0.205300,0.305424,-0.000002,0.457637
0.207298,0.305448,-0.000002,0.457689
0.209299,0.305470,-0.000002,0.457741
0.211249,0.305489,-0.000002,0.457792
0.213295,0.305507,-0.000002,0.457844
0.215294,0.305525,-0.000002,0.457896
0.217294,0.305542,-0.000002,0.457948
0.219268,0.305560,-0.000002,0.458000
0.221284,0.305577,-0.000002,0.458052
0.223303,0.305595,-0.000002,0.458104
0.225300,0.305612,-0.000002,0.458157
0.227299,0.305630,-0.000002,0.458210
0.229293,0.305648,-0.000002,0.458263
0.231304,0.305665,-0.000002,0.458316
0.233264,0.305683,-0.000002,0.458369
0.235296,0.305701,-0.000002,0.458422
0.237293,0.305719,-0.000002,0.458476
0.239293,0.305737,-0.000002,0.458529
0.241292,0.305755,-0.000002,0.458583
0.243266,0.305773,-0.000002,0.458637
0.245276,0.305782,-0.000002,0.458664
0.247299,0.305809,-0.000002,0.458745
0.249302,0.305827,-0.000002,0.458799
0.251291,0.305845,-0.000002,0.458853
0.253332,0.305863,-0.000002,0.458908
0.255303,0.305881,-0.000002,0.458962
0.257310,0.305899,-0.000002,0.459017
0.259307,0.305917,-0.000002,0.459071
0.261306,0.305936,-0.000002,0.459126
0.263263,0.305954,-0.000002,0.459181
0.265265,0.305972,-0.000002,0.459236
0.267261,0.305990,-0.000002,0.459291
0.269291,0.306009,-0.000002,0.459346
0.271265,0.306027,-0.000002,0.459401
0.273261,0.306045,-0.000002,0.459456
0.275260,0.306064,-0.000002,0.459511
0.277413,0.306082,-0.000002,0.459566
0.279337,0.306100,-0.000002,0.459622
0.281262,0.306119,-0.000002,0.459677
0.283262,0.306137,-0.000002,0.459733
0.285491,0.306155,-0.000002,0.459788
0.287268,0.306174,-0.000002,0.459843
0.289272,0.306192,-0.000002,0.459899
