time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,1.43392e-14,-6.70202e-13,1.02817e-14,0.497762,-1.14094e-13,5.53894e-12,1.16551e-13
0,1.44562e-14,-6.74717e-13,1.03638e-14,0.502073,-1.14989e-13,5.58155e-12,1.16776e-13
0,-1.57465e-13,-0.00133359,-1.29443e-13,0.502933,1.10926e-12,1.73291e-11,-2.11053e-12
0,-1.60364e-13,-0.00269176,-1.3181e-13,0.503736,1.12939e-12,1.75743e-11,-2.15317e-12
0,-1.61587e-13,-0.00405679,-1.32817e-13,0.504513,1.13877e-12,1.77263e-11,-2.16388e-12
0,-1.62782e-13,-0.00542836,-1.338e-13,0.505263,1.14797e-12,1.78767e-11,-2.17404e-12
0,-1.63965e-13,-0.00680631,-1.34773e-13,0.505987,1.15709e-12,1.80265e-11,-2.18398e-12
0,-1.65135e-13,-0.00819049,-1.35737e-13,0.506686,1.16614e-12,1.81756e-11,-2.19372e-12
0,-1.65135e-13,-0.00819049,-1.35737e-13,0.506686,1.16614e-12,1.81756e-11,-2.19372e-12
0,-1.6744e-13,-0.0109769,-1.37633e-13,0.508006,1.18401e-12,1.84717e-11,-2.21259e-12
0,-1.68698e-13,-0.0123832,-1.38666e-13,0.508629,1.19286e-12,1.86123e-11,-2.23071e-12
0,-1.69696e-13,-0.0137909,-1.3949e-13,0.509227,1.20157e-12,1.87653e-11,-2.23067e-12
0,-1.70805e-13,-0.0152039,-1.40402e-13,0.5098,1.21024e-12,1.89111e-11,-2.23937e-12
0,-1.71902e-13,-0.0166223,-1.41305e-13,0.510348,1.21883e-12,1.90563e-11,-2.24792e-12
0,-1.72988e-13,-0.0180459,-1.42198e-13,0.510872,1.22735e-12,1.92009e-11,-2.25628e-12
0,-1.74062e-13,-0.0194746,-1.43082e-13,0.511372,1.23579e-12,1.93448e-11,-2.26446e-12
0,-1.75124e-13,-0.0209081,-1.43955e-13,0.511848,1.24415e-12,1.94881e-11,-2.27245e-12
0,-1.76173e-13,-0.0223463,-1.44819e-13,0.5123,1.25244e-12,1.96309e-11,-2.28025e-12
0,-1.77211e-13,-0.0237891,-1.45672e-13,0.512728,1.26066e-12,1.9773e-11,-2.28789e-12
0,-1.78237e-13,-0.0252364,-1.46516e-13,0.513134,1.2688e-12,1.99145e-11,-2.29534e-12
0,-1.79251e-13,-0.026688,-1.4735e-13,0.513516,1.27687e-12,2.00554e-11,-2.30262e-12
0,-1.80254e-13,-0.0281438,-1.48175e-13,0.513875,1.28486e-12,2.01957e-11,-2.30972e-12
0,-1.81245e-13,-0.0296036,-1.48989e-13,0.514212,1.29278e-12,2.03355e-11,-2.31666e-12
0,-1.82223e-13,-0.0310672,-1.49794e-13,0.514526,1.30062e-12,2.04746e-11,-2.31899e-12
0,-1.83191e-13,-0.0325346,-1.50589e-13,0.514818,1.30839e-12,2.06132e-11,-2.32116e-12
0,-1.84146e-13,-0.0340056,-1.51375e-13,0.515087,1.31609e-12,2.07513e-11,-2.32316e-12
0,-1.85091e-13,-0.03548,-1.52151e-13,0.515335,1.32371e-12,2.08887e-11,-2.32501e-12
0,-1.86023e-13,-0.0369578,-1.52917e-13,0.515561,1.33126e-12,2.10257e-11,-2.32669e-12
0,-1.86944e-13,-0.0384387,-1.53674e-13,0.515765,1.33874e-12,2.11621e-11,-2.32823e-12
0,-1.87854e-13,-0.0399226,-1.54421e-13,0.515948,1.34615e-12,2.12979e-11,-2.3296e-12
0,-1.88752e-13,-0.0414094,-1.55159e-13,0.51611,1.35348e-12,2.14332e-11,-2.33084e-12
0,-1.89638e-13,-0.042899,-1.55887e-13,0.516251,1.36074e-12,2.1568e-11,-2.33192e-12
0,-1.90513e-13,-0.0443913,-1.56606e-13,0.516371,1.36793e-12,2.17023e-11,-2.33285e-12
0,-1.91377e-13,-0.045886,-1.57316e-13,0.516471,1.37504e-12,2.1836e-11,-2.33365e-12
0,-1.9223e-13,-0.047383,-1.58016e-13,0.51655,1.38209e-12,2.19692e-11,-2.3343e-12
0,-1.93071e-13,-0.0488823,-1.58707e-13,0.516609,1.38906e-12,2.21019e-11,-2.33482e-12
0,-1.93902e-13,-0.0503836,-1.59389e-13,0.516648,1.39596e-12,2.22342e-11,-2.33519e-12
0,-1.94721e-13,-0.0518869,-1.60061e-13,0.516668,1.40279e-12,2.23659e-11,-2.33544e-12
0,-1.95529e-13,-0.053392,-1.60724e-13,0.516668,1.40955e-12,2.24882e-11,-2.33556e-12
0,-1.96326e-13,-0.0548988,-1.61378e-13,0.516648,1.41625e-12,2.26101e-11,-2.33554e-12
0,-1.97111e-13,-0.0564071,-1.62022e-13,0.516609,1.42287e-12,2.27315e-11,-2.3354e-12
0,-1.97111e-13,-0.0564071,-1.62022e-13,0.516609,1.42287e-12,2.27315e-11,-2.3354e-12
0,-1.9865e-13,-0.0594279,-1.63285e-13,0.516474,1.4359e-12,2.29729e-11,-2.33474e-12
0,-1.9984e-13,-0.0609475,-1.64257e-13,0.516373,1.44443e-12,2.31049e-11,-2.34847e-12
0,-2.00149e-13,-0.0624608,-1.64513e-13,0.516259,1.44867e-12,2.32124e-11,-2.33361e-12
0,-2.00876e-13,-0.063975,-1.6511e-13,0.516127,1.45492e-12,2.33313e-11,-2.33277e-12
0,-2.01597e-13,-0.0654899,-1.657e-13,0.515977,1.46112e-12,2.345e-11,-2.33192e-12
0,-2.02306e-13,-0.0670055,-1.66282e-13,0.515808,1.46726e-12,2.35682e-11,-2.33095e-12
0,-2.03006e-13,-0.0685216,-1.66854e-13,0.515622,1.47333e-12,2.36859e-11,-2.32987e-12
0,-2.03694e-13,-0.0700381,-1.67418e-13,0.515419,1.47933e-12,2.38033e-11,-2.3287e-12
0,-2.04372e-13,-0.0715548,-1.67974e-13,0.515198,1.48526e-12,2.39202e-11,-2.32741e-12
0,-2.0504e-13,-0.0730718,-1.6852e-13,0.51496,1.49112e-12,2.40367e-11,-2.32602e-12
0,-2.05697e-13,-0.0745887,-1.69058e-13,0.514705,1.49692e-12,2.41527e-11,-2.32454e-12
0,-2.06343e-13,-0.0761056,-1.69587e-13,0.514433,1.50266e-12,2.42684e-11,-2.32295e-12
0,-2.06979e-13,-0.0776223,-1.70107e-13,0.514144,1.50832e-12,2.43837e-11,-2.32127e-12
0,-2.07605e-13,-0.0791386,-1.70619e-13,0.513839,1.51392e-12,2.44986e-11,-2.31949e-12
0,-2.08221e-13,-0.0806544,-1.71122e-13,0.513517,1.51946e-12,2.4613e-11,-2.31762e-12
0,-2.08826e-13,-0.0821697,-1.71617e-13,0.51318,1.52492e-12,2.47271e-11,-2.31567e-12
0,-2.09421e-13,-0.0836843,-1.72104e-13,0.512826,1.53033e-12,2.48408e-11,-2.31362e-12
0,-2.10006e-13,-0.0851981,-1.72582e-13,0.512457,1.53567e-12,2.49542e-11,-2.31149e-12
0,-2.10581e-13,-0.086711,-1.73051e-13,0.512072,1.54094e-12,2.50671e-11,-2.30928e-12
0,-2.11145e-13,-0.0882228,-1.73512e-13,0.511672,1.54615e-12,2.51797e-11,-2.30698e-12
0,-2.117e-13,-0.0897335,-1.73965e-13,0.511257,1.55129e-12,2.5292e-11,-2.30461e-12
0,-2.12245e-13,-0.0912429,-1.7441e-13,0.510826,1.55638e-12,2.54038e-11,-2.29772e-12
0,-2.1278e-13,-0.092751,-1.74846e-13,0.51038,1.56139e-12,2.55154e-11,-2.29075e-12
0,-2.13305e-13,-0.0942575,-1.75274e-13,0.50992,1.56635e-12,2.56265e-11,-2.28371e-12
0,-2.1382e-13,-0.0957624,-1.75695e-13,0.509445,1.57124e-12,2.57374e-11,-2.2766e-12
