time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
1.015000000000000069e-01,5.958226927753521585e-01,2.572677272146201011e-01,1.586098782887286895e-01,8.047137911409216323e-04,-2.006705417498206266e-03,-1.776968107374638720e-04,-2.891952458410752217e-03,1.030609177130248182e-02,1.539489595340731796e-03
2.019700000000000106e-01,5.958958257882621679e-01,2.571132734405414122e-01,1.586031269238609709e-01,6.524303582720790634e-04,-1.070720279845642584e-03,4.317873981323538447e-05,-1.517091286326977245e-03,9.324552708811372284e-03,2.200425658855102197e-03
3.023500000000000076e-01,5.959614505799504247e-01,2.570469425144792930e-01,1.586205324558515595e-01,6.551156795571182103e-04,-2.508951847799297495e-04,3.036190755413559206e-04,2.675194172980008668e-05,8.167333009281352307e-03,2.594581409794609154e-03
4.027000000000000024e-01,5.960339492068852385e-01,2.570558189752457645e-01,1.586611306956917933e-01,7.893885993600598724e-04,4.277548868305194180e-04,5.052835705512722774e-04,1.337665383457494308e-03,6.760906887304903717e-03,2.009039607115862582e-03
5.030200000000000227e-01,5.961232346064475607e-01,2.571239527726002505e-01,1.587103372183271133e-01,9.895849780079820582e-04,9.297820208101697593e-04,4.751354456756232613e-04,1.994413810349030067e-03,5.001338465466537847e-03,-3.003442770254405878e-04
6.033899999999999819e-01,5.962321075648887581e-01,2.572319066508059748e-01,1.587375742239643950e-01,1.179662371572044125e-03,1.221153046330447287e-03,6.755029681789533752e-05,1.893605575283705249e-03,2.902721823231303039e-03,-4.060480290728047531e-03
7.037499999999999867e-01,5.963576523880314006e-01,2.573581447735961980e-01,1.587055875507379088e-01,1.321764784950054403e-03,1.294087810529774996e-03,-7.048711440867662078e-04,1.415665046686257270e-03,7.265970641232627394e-04,-7.695084194600851531e-03
8.041000000000000369e-01,5.964925612093954221e-01,2.574805191609078059e-01,1.585853925981378088e-01,1.366236049865434538e-03,1.144169761717150728e-03,-1.689962119320418711e-03,4.430355109814817800e-04,-1.493526651140455151e-03,-9.813759163503134667e-03
9.045499999999999652e-01,5.966200802398811120e-01,2.575760437647645062e-01,1.583638968470093278e-01,1.174526347542759934e-03,7.591173051780483218e-04,-2.723246430881957197e-03,-1.909867103853389852e-03,-3.836003139602124287e-03,-1.029387501868635896e-02
1.004899999999999904e+00,5.966979598674718721e-01,2.576170710361117000e-01,1.580422345387228200e-01,3.771920787425037721e-04,5.833361105086381018e-05,-3.685738129658882624e-03,-7.943272939798906584e-03,-6.981408390471765743e-03,-9.588618682073852401e-03
1.105299999999999949e+00,5.966785306745306938e-01,2.575800226515788660e-01,1.576255651902546129e-01,-7.643104770642984713e-04,-7.965069013210715910e-04,-4.616221261880178346e-03,-1.137197624265531837e-02,-8.516166651139986041e-03,-9.269740150807840445e-03
1.205650000000000110e+00,5.965069854490883117e-01,2.574426109190673939e-01,1.571187369335154405e-01,-2.653655112846666463e-03,-1.941363372614445144e-03,-5.482115996191702124e-03,-1.882219378573319821e-02,-1.140538891180716864e-02,-8.626291984314721217e-03
1.305979999999999919e+00,5.961063798667318725e-01,2.571749893810698628e-01,1.565265805702435453e-01,-5.328240577281902549e-03,-3.390881845146426037e-03,-6.316347460257944538e-03,-2.664498840216044176e-02,-1.444051925163940785e-02,-8.310853394044012687e-03
1.406330000000000080e+00,5.953971440137929561e-01,2.567456128394991488e-01,1.558517260735210186e-01,-8.802981869889840369e-03,-5.164262959491485588e-03,-7.129841100491414278e-03,-3.461637052663657510e-02,-1.766693188632583941e-02,-8.104257238169459976e-03
1.506699999999999928e+00,5.943076624165886113e-01,2.561245638987710294e-01,1.550951402500905796e-01,-1.290447516065638262e-02,-7.209872803164651955e-03,-7.944809351779663284e-03,-4.086025390371654520e-02,-2.037895265819297114e-02,-8.118947736930757358e-03
1.607080000000000064e+00,5.927803782766596363e-01,2.552863241477261180e-01,1.542573225520369740e-01,-1.752601116056147490e-02,-9.491697396640465592e-03,-8.748351621842048037e-03,-4.604106870207660268e-02,-2.273219182463696170e-02,-8.005118830995706578e-03
1.707459999999999978e+00,5.907656395003654248e-01,2.542092986430070090e-01,1.533421236687167732e-01,-2.261680128015285118e-02,-1.196757729371379121e-02,-9.486596526944361327e-03,-5.071591298840311124e-02,-2.466542648192814047e-02,-7.354607731168088733e-03
1.807809999999999917e+00,5.882293434539217492e-01,2.528841909598843474e-01,1.523732849737666206e-01,-2.791781774067488009e-02,-1.443462919242128988e-02,-9.817102034029990057e-03,-5.281024816310979364e-02,-2.457747942725384965e-02,-3.292590766025970707e-03
1.908120000000000038e+00,5.851674062810083843e-01,2.513191584274341861e-01,1.513929654898941712e-01,-3.308997695893986513e-02,-1.674797778023910666e-02,-9.715346358834617974e-03,-5.152653531447280721e-02,-2.304624290836624831e-02,1.013719255371490179e-03
2.008480000000000043e+00,5.815925557194684403e-01,2.495277257357058631e-01,1.504388599287596606e-01,-3.813739866115686827e-02,-1.894555598719345132e-02,-9.294800782777990628e-03,-5.028386436130712761e-02,-2.189290513081562292e-02,4.189595788061630660e-03
2.108820000000000139e+00,5.775237279144467273e-01,2.475238163085575482e-01,1.495412373162618713e-01,-4.293226324854949177e-02,-2.098148628185716319e-02,-8.589947652113152227e-03,-4.776781786181728134e-02,-2.028252221148466386e-02,7.021949285795889978e-03
2.209140000000000104e+00,5.729903628823938000e-01,2.453243497598851797e-01,1.487238468852573048e-01,-4.739310515564675030e-02,-2.284194838463576155e-02,-7.696208721471065571e-03,-4.444018800632190680e-02,-1.853445769834930965e-02,8.903683863602450746e-03
2.309480000000000199e+00,5.680249667076977538e-01,2.429449971788738005e-01,1.479998707494619703e-01,-5.154029984948847731e-02,-2.456563889849185112e-02,-6.728707586656985581e-03,-4.131554440427934877e-02,-1.717189985563148669e-02,9.638524122332249242e-03
2.409839999999999982e+00,5.626780839598221062e-01,2.404061256126427126e-01,1.473582541381603384e-01,-5.499406272691363673e-02,-2.602029625769605031e-02,-6.055230256492064554e-03,-3.440737753064761206e-02,-1.449171431629598349e-02,6.709374551675248606e-03
2.510200000000000209e+00,5.569912272954007371e-01,2.377230002425205213e-01,1.467767366723267686e-01,-5.831413540931638939e-02,-2.743983453198850161e-02,-5.531257697491563999e-03,-3.307551741878286128e-02,-1.414184790798302116e-02,5.219965091138600161e-03
2.610559999999999992e+00,5.509904223278846436e-01,2.349047432322671491e-01,1.462305474191142041e-01,-6.124934901787142116e-02,-2.871273666159298785e-02,-5.351330659285027241e-03,-2.924144081308198417e-02,-1.268101652812900736e-02,1.792484820544175579e-03
2.710910000000000153e+00,5.447071717586614570e-01,2.319630734603325695e-01,1.456948635417348592e-01,-6.394174378586606200e-02,-2.989878127151095882e-02,-5.321942556166898639e-03,-2.682240979814909387e-02,-1.181571697593230066e-02,2.927727220372745420e-04
2.811189999999999856e+00,5.381669759316252133e-01,2.289080359677552190e-01,1.451601546641543838e-01,-6.636887389786380598e-02,-3.097154023461297714e-02,-5.331904203351570115e-03,-2.417976712453645885e-02,-1.068713283245284647e-02,-9.924078973413302026e-05
