time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.007,-0.146057,-0.392062,-0.0362687,0.492619,-1.31445,0.237914,9.6
0.008,-0.474323,-0.727554,-0.457569,0.85995,-0.0435647,0.337955,-8.74786e-18
0.009,0.39262,-0.34423,0.411621,0.210467,0.0444196,0.0388093,1.08582e-17
0.01,-0.72587,-0.865477,-0.708843,1.09402,-0.0687577,0.445077,-5.29495e-17
0.011,-0.72587,-0.865477,-0.708843,1.09402,-0.0687577,0.445077,-5.29495e-17
0.012,-0.472809,-0.727539,-0.456026,0.859583,-0.0434055,0.337725,2.99432e-17
0.013,-0.472809,-0.727539,-0.456026,0.859583,-0.0434055,0.337725,2.99432e-17
0.014,0.407511,-0.345126,0.426783,0.214503,0.0460071,0.0409271,-6.52581e-18
0.015,0.407511,-0.345126,0.426783,0.214503,0.0460071,0.0409271,-6.52581e-18
0.016,0.344096,-0.357032,0.362607,0.241609,0.0393437,0.0547981,-3.21758e-19
0.017,0.344096,-0.357032,0.362607,0.241609,0.0393437,0.0547981,-3.21758e-19
0.018,0.275108,-0.391534,0.293567,0.303733,0.032383,0.0837428,1.30573e-17
0.019,0.275108,-0.391534,0.293567,0.303733,0.032383,0.0837428,1.30573e-17
0.02,0.275108,-0.391534,0.293567,0.303733,0.032383,0.0837428,1.30573e-17
0.021,0.208671,-0.423919,0.227053,0.362248,0.0256682,0.111024,3.57723e-18
0.022,0.179175,-0.430726,0.197262,0.374922,0.0225864,0.117148,4.92578e-18
0.023,0.179175,-0.430726,0.197262,0.374922,0.0225864,0.117148,4.92578e-18
0.024,0.0936776,-0.447011,0.110792,0.405982,0.0136113,0.13237,2.80486e-18
0.025,0.0936776,-0.447011,0.110792,0.405982,0.0136113,0.13237,2.80486e-18
0.026,0.0684212,-0.452217,0.0852636,0.415932,0.0109656,0.13722,-8.7327e-18
0.027,0.0684212,-0.452217,0.0852636,0.415932,0.0109656,0.13722,-8.7327e-18
0.028,0.0217426,-0.4619,0.0380848,0.434657,0.00607829,0.146359,5.11953e-18
0.029,0.0217426,-0.4619,0.0380848,0.434657,0.00607829,0.146359,5.11953e-18
