time,x_des,y_des,z_des,vx_des,vy_des,vz_des
0.000000000000000000e+00,3.078807153226256754e-01,1.041514517212300010e-03,4.842586213893356195e-01,-3.243211110896973155e-06,-3.997624226228147540e-05,-4.126233662373333914e-06
1.004199999999999954e-01,3.078803898370396364e-01,1.037502539516287590e-03,4.842582072844451857e-01,-1.586967159166330159e-06,-4.124317176403387514e-05,2.897894632197729927e-06
2.007999999999999785e-01,3.078803967895927252e-01,1.033236266137849482e-03,4.842592030492401944e-01,5.854262854663893561e-07,-4.084870504913671441e-05,1.088478240557801864e-05
3.011599999999999833e-01,3.078805073426913452e-01,1.029303465051364464e-03,4.842603920572885468e-01,6.744694937259830892e-07,-2.034996829291324524e-05,1.312141831143791634e-05
4.015199999999999880e-01,3.078805321678280138e-01,1.029151659167035692e-03,4.842618367553929715e-01,-5.594129243263311871e-06,-1.966179498633772619e-05,-2.471060860880925537e-06
5.018799999999999928e-01,3.078793844996984830e-01,1.025356986919117230e-03,4.842598960706475664e-01,-4.223496268495830961e-06,-1.697599811119378864e-05,-7.893542216582477173e-06
6.022499999999999520e-01,3.078796844356816442e-01,1.025744269080553286e-03,4.842602523785969892e-01,-1.715261225661684104e-06,-2.613774859014407346e-05,-9.976279245011056832e-06
7.026200000000000223e-01,3.078790402157242645e-01,1.020110667683825833e-03,4.842578936508324383e-01,-2.513023706792480779e-06,-2.095413466764406386e-05,-9.304791343122900758e-07
8.029800000000000271e-01,3.078791800263379619e-01,1.021538394982919639e-03,4.842600656145930604e-01,-6.233477026546069225e-07,-3.579639996349737604e-06,1.287671397062136342e-05
9.033600000000000518e-01,3.078789150985577483e-01,1.019392169145074507e-03,4.842604782403948649e-01,-1.008123343892988515e-06,-1.902377683788009563e-05,1.856966324722329995e-06
1.003720000000000168e+00,3.078789776777358100e-01,1.017719978641196338e-03,4.842604383413455227e-01,4.582866449935476254e-06,1.537116160408819344e-05,1.257166485021240582e-05
1.104080000000000172e+00,3.078798349628041331e-01,1.022477439497040041e-03,4.842630016010774363e-01,-6.047816178639663995e-06,-2.801883869655355373e-05,-1.857464717638068120e-05
1.204460000000000086e+00,3.078777637715632842e-01,1.012096090573817633e-03,4.842567100734561092e-01,-9.899586751488609215e-08,-4.425994707894754807e-06,-2.237630552201881247e-06
1.304830000000000156e+00,3.078798150925416977e-01,1.021589062248661351e-03,4.842625524681244964e-01,5.841870638366220972e-06,2.370757953312003897e-05,1.494621546463716394e-05
1.405200000000000005e+00,3.078789363407382629e-01,1.016854630893304374e-03,4.842597100494263618e-01,-1.041490156581956248e-05,-1.591189378374332654e-05,-2.471336558467226473e-05
1.505530000000000035e+00,3.078777246332877193e-01,1.018395257160986580e-03,4.842575920483397356e-01,4.248892495412843687e-05,1.198882979327826941e-04,1.794928893264247398e-04
1.605890000000000040e+00,3.078874646370260981e-01,1.040918382266606441e-03,4.842957375211354720e-01,7.952229337969156841e-05,-1.587965649923146815e-04,3.477357574035629399e-04
1.706250000000000044e+00,3.078936861969225336e-01,9.865219123492026659e-04,4.843273889088678397e-01,8.070636317907163766e-05,-5.035945162584428998e-04,3.324376581694569663e-04
1.806630000000000180e+00,3.079036638649013113e-01,9.398378477927926819e-04,4.843624637762516949e-01,1.928275278492347421e-04,-2.685657956291188637e-04,8.413517293271582931e-04
1.906989999999999963e+00,3.079323901719401291e-01,9.326158961255376269e-04,4.844962634294101012e-01,3.426601024220418245e-04,2.406390857008963962e-04,1.385736053962425716e-03
2.007340000000000124e+00,3.079724419496052690e-01,9.881384678604137727e-04,4.846406060841045305e-01,1.466123326736292485e-03,3.894812643520214213e-03,-1.082830465929512107e-03
2.107709999999999972e+00,3.082266676604483169e-01,1.714375289788892288e-03,4.842789197556666148e-01,6.577346769864873648e-03,1.435488687166048237e-02,-1.033857295856419403e-02
2.208060000000000134e+00,3.092926344962936835e-01,3.869424086455049497e-03,4.825654673631501468e-01,1.769393508134134083e-02,3.030313019690537846e-02,-2.684716746445791474e-02
2.308450000000000113e+00,3.117781606914984960e-01,7.796762006964365332e-03,4.788902073118188052e-01,3.407745242925883100e-02,5.037343852776512282e-02,-4.641467031750807354e-02
2.408800000000000274e+00,3.161325960007349001e-01,1.398028495821486070e-02,4.732492029248935306e-01,5.762171508070813852e-02,7.709063984607263109e-02,-6.378736706457986683e-02
2.509160000000000057e+00,3.233438818612395793e-01,2.327024876465235564e-02,4.660869281906137584e-01,9.373121281394432291e-02,1.079368824045478653e-01,-7.343642650568898977e-02
2.609510000000000218e+00,3.349461469474454556e-01,3.564517091437913870e-02,4.585091829258819973e-01,1.416659919212101826e-01,1.304197289907948476e-01,-6.968921303152783575e-02
2.709859999999999935e+00,3.517788105942802335e-01,4.944784897019961073e-02,4.520990417604302536e-01,1.912755711508336565e-01,1.356836110437058263e-01,-5.651410492825215126e-02
2.810230000000000228e+00,3.733386161652555990e-01,6.287932752421078464e-02,4.471657791614825905e-01,2.324112825989337883e-01,1.310306618397828471e-01,-5.059136818321954138e-02
2.910579999999999945e+00,3.984279616561012816e-01,7.574807445642332826e-02,4.419444384622939759e-01,2.619954407806961427e-01,1.297193357494984545e-01,-6.230369044823846209e-02
3.010940000000000172e+00,4.259258432474194445e-01,8.891634612911218649e-02,4.346603007917240191e-01,2.812868188298364713e-01,1.341834152336305597e-01,-8.410680872422052201e-02
3.111320000000000086e+00,4.548873174866702729e-01,1.026811146136287073e-01,4.250626796181050104e-01,2.916345578718332887e-01,1.376467197212882798e-01,-1.066330212382475967e-01
3.211699999999999999e+00,4.844621775977938638e-01,1.165445341828016956e-01,4.132571233715233161e-01,2.946083214697347019e-01,1.365319919792822578e-01,-1.303749582662144246e-01
3.312079999999999913e+00,5.140205400162646265e-01,1.300855566329254809e-01,3.988940657073311580e-01,2.932147955263570416e-01,1.333649893639917983e-01,-1.545702310461296858e-01
3.412450000000000205e+00,5.433156942477327389e-01,1.433133014544623329e-01,3.822320802793831573e-01,2.909321576388539943e-01,1.300986359853248675e-01,-1.716293690167046415e-01
3.512809999999999988e+00,5.724158899264358835e-01,1.561987076604915148e-01,3.644449448540993397e-01,2.889559551087935163e-01,1.246034337997264929e-01,-1.790766050356338845e-01
3.613170000000000215e+00,6.013143845408550625e-01,1.683234659402192135e-01,3.462881643621802952e-01,2.844309160192324826e-01,1.149065119171192861e-01,-1.846392063032741837e-01
3.713529999999999998e+00,6.295063229710757824e-01,1.792625244101230531e-01,3.273845141793981228e-01,2.722498556330503194e-01,1.034595615142892694e-01,-1.958912283343826333e-01
3.813870000000000093e+00,6.559598582887952167e-01,1.890896725542004775e-01,3.069692492042368492e-01,2.496874691421187842e-01,9.408178387604604342e-02,-2.133404550818459311e-01
3.914219999999999811e+00,6.796231173710904905e-01,1.981464413143336489e-01,2.845632233822346646e-01,2.194666094962274827e-01,8.607152535299415763e-02,-2.339548053827733842e-01
4.014569999999999972e+00,7.000107791603199514e-01,2.063657855871552926e-01,2.600102851819368066e-01,1.881124351380972781e-01,7.512321978198126249e-02,-2.533026510694205702e-01
4.114919999999999689e+00,7.173806879383826107e-01,2.132250312548553406e-01,2.337207965346176086e-01,1.608886168797757088e-01,6.019181558631522128e-02,-2.633497823008909555e-01
4.215269999999999406e+00,7.323040366520564559e-01,2.184473724471908684e-01,2.071512172430883536e-01,1.379208715592606938e-01,4.606869049719018727e-02,-2.563579280031748064e-01
4.315659999999999386e+00,7.450639032281014540e-01,2.224718512809394089e-01,1.822651203058835712e-01,1.149667651942650748e-01,3.765868719531766107e-02,-2.350059256877537195e-01
4.416039999999999743e+00,7.553799473249954710e-01,2.260061525895293577e-01,1.599812743503012391e-01,8.784300317330190344e-02,3.341384953913206779e-02,-2.138831570643022484e-01
4.516419999999999213e+00,7.626955839233405809e-01,2.291786156741198732e-01,1.393348993979352524e-01,5.647947359997459310e-02,2.608409193731898654e-02,-2.053854619873249077e-01
4.616769999999999818e+00,7.667163999549825304e-01,2.312417019634133430e-01,1.187566946525831640e-01,2.542712990496894671e-02,9.954468821736285958e-03,-2.052425714273018731e-01
4.717119999999999536e+00,7.677992691263191283e-01,2.311766577425280189e-01,9.813900042193293705e-02,8.665650926258367101e-04,-1.289177277220621490e-02,-1.956339591997221239e-01
4.817499999999999893e+00,7.668903352539007123e-01,2.286540898269443789e-01,7.948941806653742059e-02,-1.333257105242829747e-02,-3.306018508398077954e-02,-1.625394629903373633e-01
4.917879999999999363e+00,7.651231807965607201e-01,2.245408802068230569e-01,6.551438823549210477e-02,-1.739078787430781842e-02,-4.061288507597479031e-02,-1.089839328061470852e-01
5.018180000000000085e+00,7.633996893542666085e-01,2.205023486989763637e-01,5.761437014315991256e-02,-1.452589400550229233e-02,-3.275002261844608964e-02,-5.188252727828692595e-02
5.118539999999999424e+00,7.622075709509749109e-01,2.179673578918915333e-01,5.510062593699618233e-02,-8.586748938374955814e-03,-1.598190259904930591e-02,-8.326584568264202776e-03
5.218879999999999519e+00,7.616761734221789704e-01,2.172944915749101258e-01,5.594307390912860167e-02,-2.693377498234909764e-03,-1.180819428695614433e-03,1.434902568886397764e-02
5.319219999999999615e+00,7.616669613369464464e-01,2.177303460597206641e-01,5.798073511011615083e-02,7.317415094766625177e-04,4.365184110219893360e-03,1.843126091637326686e-02
5.419550000000000090e+00,7.618230471876522580e-01,2.181706630356636534e-01,5.964256158086730236e-02,-1.562846819236452065e-04,1.485505254129637067e-03,9.933629716216063263e-03
5.519859999999999545e+00,7.616355921725316280e-01,2.180285138518695820e-01,5.997459439285857813e-02,-5.975236555876134274e-03,-3.273203607878243538e-03,-6.109537458475886550e-03
5.620169999999999888e+00,7.606237090591062566e-01,2.175136718265771874e-01,5.841626683032319356e-02,-1.517109976223687470e-02,-4.104977089541118548e-03,-2.609122807465076577e-02
