time,x_desired,y_desired,z_desired
0.000000000000000000e+00,3.078544271273105926e-01,-1.963350258672899931e-03,4.860369745310217926e-01
9.999995769511304741e-03,3.078544166966937223e-01,-1.963286005987913141e-03,4.860369520930995502e-01
1.999999153902260948e-02,3.078543969185352225e-01,-1.963162562961598412e-03,4.860369075833614327e-01
2.999998730853391249e-02,3.078543688354712926e-01,-1.962984902725176378e-03,4.860368413872961368e-01
3.999998307804521896e-02,3.078543334462403025e-01,-1.962757896357770863e-03,4.860367539102652956e-01
4.999997884755652544e-02,3.078542917023084358e-01,-1.962486299968455288e-03,4.860366455779194239e-01
5.999997461706782498e-02,3.078542445046141274e-01,-1.962174741790173680e-03,4.860365168365284316e-01
6.999997038657913839e-02,3.078541927004677103e-01,-1.961827709382925420e-03,4.860363681532162139e-01
7.999996615609043793e-02,3.078541370806442412e-01,-1.961449537050246380e-03,4.860362000160884932e-01
8.999996192560173747e-02,3.078540783767086952e-01,-1.961044393578885957e-03,4.860360129342435886e-01
9.999995769511305088e-02,3.078540172586126111e-01,-1.960616270416540383e-03,4.860358074376551762e-01
1.099999534646243504e-01,3.078539543326028749e-01,-1.960168970406311276e-03,4.860355840769180480e-01
1.199999492341356500e-01,3.078538901394810567e-01,-1.959706097199108432e-03,4.860353434228467662e-01
1.299999450036469495e-01,3.078538251532523806e-01,-1.959231045466267116e-03,4.860350860659194416e-01
1.399999407731582768e-01,3.078537597802005199e-01,-1.958746992034087180e-03,4.860348126155587534e-01
1.499999365426695763e-01,3.078536943584225805e-01,-1.958256888059662498e-03,4.860345236992447693e-01
1.599999323121808759e-01,3.078536291578546913e-01,-1.957763452363128244e-03,4.860342199614541836e-01
1.699999280816921754e-01,3.078535643808159583e-01,-1.957269166025231086e-03,4.860339020624237505e-01
1.799999238512034749e-01,3.078535001630923196e-01,-1.956776268350849269e-03,4.860335706767368591e-01
1.899999196207148022e-01,3.078534365755773994e-01,-1.956286754288743233e-03,4.860332264917339162e-01
1.999999153902261018e-01,3.078533736264807974e-01,-1.955802373385420647e-03,4.860328702057504224e-01
2.099999111597374013e-01,3.078533112641077540e-01,-1.955324630336618009e-03,4.860325025261885701e-01
2.199999069292487008e-01,3.078532493802063619e-01,-1.954854787183657894e-03,4.860321241674305237e-01
2.299999026987600004e-01,3.078531878138706102e-01,-1.954393867183988696e-03,4.860317358486043182e-01
2.399998984682712999e-01,3.078531263559798337e-01,-1.953942660365792609e-03,4.860313382912168079e-01
2.499998942377826272e-01,3.078530647541456444e-01,-1.953501730755892712e-03,4.860309322166686541e-01
2.599998900072938990e-01,3.078530027181297091e-01,-1.953071425248635151e-03,4.860305183436717247e-01
2.699998857768052263e-01,3.078529399256865751e-01,-1.952651884061304974e-03,4.860300973855889994e-01
2.799998815463165536e-01,3.078528760287774779e-01,-1.952243052699347481e-03,4.860296700477217402e-01
2.899998773158278254e-01,3.078528106600936232e-01,-1.951844695332601715e-03,4.860292370245686278e-01
2.999998730853391526e-01,3.078527434398192764e-01,-1.951456409462364473e-03,4.860287989970853428e-01
3.099998688548504244e-01,3.078526739825587777e-01,-1.951077641738797799e-03,4.860283566299728464e-01
3.199998646243617517e-01,3.078526019043464901e-01,-1.950707704769416746e-03,4.860279105690247792e-01
3.299998603938730790e-01,3.078525268296528616e-01,-1.950345794742555866e-03,4.860274614385646230e-01
3.399998561633843508e-01,3.078524483982973958e-01,-1.949991009675199321e-03,4.860270098390034876e-01
3.499998519328956781e-01,3.078523662721774912e-01,-1.949642368082726319e-03,4.860265563445486103e-01
3.599998477024069499e-01,3.078522801417202803e-01,-1.949298827859271719e-03,4.860261015010932106e-01
3.699998434719182772e-01,3.078521897319670408e-01,-1.948959305151778086e-03,4.860256458243149003e-01
3.799998392414296045e-01,3.078520948082018593e-01,-1.948622693008607645e-03,4.860251897980100155e-01
3.899998350109408762e-01,3.078519951810395061e-01,-1.948287879584907232e-03,4.860247338726872424e-01
3.999998307804522035e-01,3.078518907108945823e-01,-1.947953765691808883e-03,4.860242784644420722e-01
4.099998265499634753e-01,3.078517813117599977e-01,-1.947619281484982501e-03,4.860238239541297967e-01
