time,ax,ay,az
0.000000000000000000e+00,-1.150787258046470305e-05,7.714380030080745929e-06,-3.077823792417745284e-05
1.000001994535519162e-01,-1.160717170337883630e-05,1.149352294047557336e-05,-2.130218985331470353e-05
2.000003989071038324e-01,-1.174199157985041137e-05,1.870931708783196042e-05,-1.158062528454513638e-06
3.000005983606557347e-01,-1.215023134435506047e-05,2.223322462352953627e-05,8.211760237361019372e-06
4.000007978142076648e-01,-1.262027292842800083e-05,2.496347966656943873e-05,1.677842248945633381e-05
5.000009972677595949e-01,-1.318856361122941682e-05,2.676117027197236073e-05,2.090678810906199206e-05
6.000011967213114694e-01,-1.344044455176413937e-05,2.797678610352966034e-05,2.738725126591882498e-05
7.000013961748634550e-01,-1.415468180111695124e-05,2.812636028305876609e-05,3.335268157155342272e-05
8.000015956284153296e-01,-1.792877377092122595e-05,2.743079704275294461e-05,4.427429695676307012e-05
9.000017950819672041e-01,-1.927038378794222582e-05,2.538051172603547195e-05,5.247238510883607814e-05
1.000001994535519190e+00,-2.032175929683805495e-05,2.564093696675395510e-05,5.772707147041610410e-05
1.100002193989071175e+00,-1.543780442874038069e-05,2.406189742755696233e-05,5.008186642144065272e-05
1.200002393442622939e+00,-2.663057076246418513e-05,3.848666673563496771e-05,5.068980793281987790e-05
1.300002592896174924e+00,-1.068649870008459338e-04,1.109730401691732681e-04,1.670387003042698103e-04
1.400002792349726910e+00,-2.882702929659334439e-04,1.630509820345940847e-04,4.662455784878814097e-04
1.500002991803278674e+00,-7.678500828096076298e-04,1.454760131695405053e-04,7.795178295397914292e-04
1.600003191256830659e+00,-1.887411633029611449e-03,6.031622376077861309e-05,5.658050085332352701e-04
1.700003390710382645e+00,-3.927213081532439365e-03,-2.937422458122998303e-05,-3.760277740130429187e-04
1.800003590163934408e+00,-6.452008523814480034e-03,-1.416917639999352248e-04,-1.639967557921380740e-03
1.900003789617486394e+00,-1.013708060997492270e-02,-3.600025522392279252e-04,-2.328752403302436057e-03
2.000003989071038379e+00,-1.047343087798802835e-02,-8.420196569611309526e-04,-1.506880817295125612e-03
2.100004188524590365e+00,-6.975599133955187950e-03,-1.405022941109417738e-03,3.692491375232048885e-04
2.200004387978142351e+00,-4.750613514682971474e-03,-2.138680165950204975e-03,2.399145871263881017e-03
2.300004587431693892e+00,-2.107266727929754668e-04,-2.971372821816343178e-03,4.527984727658578880e-03
2.400004786885245878e+00,6.442975405570643133e-03,-3.789596431392594500e-03,6.481388637192662602e-03
2.500004986338797863e+00,1.534304940434199835e-02,-4.284755643047225178e-03,7.906277990398471317e-03
2.600005185792349849e+00,2.641126000347276959e-02,-4.249467452631711453e-03,8.507401327118600809e-03
2.700005385245901834e+00,3.896467687036155730e-02,-3.566333412702449995e-03,7.948962789959183525e-03
2.800005584699453820e+00,5.216932133941431377e-02,-2.096880675673162137e-03,5.786321937950538938e-03
2.900005784153005362e+00,6.522098237050057146e-02,3.040346108143842166e-04,1.806720637806047067e-03
3.000005983606557347e+00,7.672263186475575258e-02,1.143155494393947522e-03,3.591033955288210067e-04
3.100006183060109333e+00,8.784393443246432676e-02,9.249136800559640964e-03,-1.301706062507632447e-02
3.200006382513661318e+00,9.786233452368228725e-02,1.198946483389155132e-02,-1.782241287298799368e-02
3.300006581967213304e+00,9.873661096316027619e-02,2.228987162222613796e-02,-3.528319487151021505e-02
3.400006781420765289e+00,9.907904439601672442e-02,2.978830551403198468e-02,-4.807681300041483780e-02
3.500006980874317275e+00,9.547904755770610097e-02,3.806303565240304332e-02,-6.194297896336261461e-02
3.600007180327868817e+00,8.795559786895487675e-02,4.647602567513163530e-02,-7.584193506784166205e-02
3.700007379781420802e+00,7.636045431283375318e-02,5.442874884903374511e-02,-8.850439339054363974e-02
3.800007579234972788e+00,6.107101219040016876e-02,6.122158594368681817e-02,-9.850538898153832212e-02
3.900007778688524773e+00,4.306894540157823331e-02,6.607571387225144588e-02,-1.047799520972604037e-01
4.000007978142076759e+00,2.322373923196612011e-02,6.852126091322785495e-02,-1.070031126552935530e-01
4.100008177595628744e+00,2.057954773078461350e-03,6.845755290711098839e-02,-1.051192295906874935e-01
4.200008377049180730e+00,-1.940127490393506529e-02,6.590277419950091309e-02,-9.906710564388840345e-02
4.300008576502732716e+00,-3.895695133091978124e-02,6.097841609281122455e-02,-8.882590372435732184e-02
4.400008775956284701e+00,-5.465797418220372239e-02,5.393328401337214861e-02,-7.487273230367823273e-02
4.500008975409835799e+00,-6.607465115909574860e-02,4.485065382866444683e-02,-5.792395687796743353e-02
4.600009174863387784e+00,-7.336841927346572645e-02,3.461504471615456380e-02,-4.016487935315769114e-02
4.700009374316939770e+00,-7.718648196915393889e-02,2.319956766467757767e-02,-2.254253257072577621e-02
4.800009573770491755e+00,-7.827420368375276327e-02,1.143883939535815693e-02,-6.675232797663242443e-03
4.900009773224043741e+00,-7.674336173083257107e-02,-1.378944600891860578e-03,8.229321638131822936e-03
5.000009972677595727e+00,-7.313108941968896048e-02,-1.368623656066551147e-02,2.115391529270953599e-02
5.100010172131147712e+00,-7.042324864391695527e-02,-2.287099229384200946e-02,3.046252309308107240e-02
5.200010371584699698e+00,-6.295735028495076657e-02,-3.358287025789460922e-02,4.031400342901764189e-02
5.300010571038251683e+00,-4.826980088495225890e-02,-4.347871426553141100e-02,4.802181590891577839e-02
5.400010770491803669e+00,-4.606623567524217866e-02,-4.744727246793650766e-02,5.053052583585890961e-02
5.500010969945355654e+00,-3.091759071650566904e-02,-5.068248159185692603e-02,5.222898475133209983e-02
5.600011169398907640e+00,-2.524819921113731144e-02,-5.275379756328314046e-02,5.286589681375585686e-02
5.700011368852459626e+00,-1.711849681916536095e-02,-5.296460722782041219e-02,5.236041476873433409e-02
5.800011568306010723e+00,-1.157187818645222938e-02,-5.247493197931603348e-02,5.158374476209447168e-02
5.900011767759562709e+00,-8.666731057564226390e-03,-5.122145182708688627e-02,5.075328727412209417e-02
6.000011967213114694e+00,-8.286947531911878495e-03,-4.924001726363443077e-02,5.020342615972680361e-02
6.100012166666666680e+00,-9.116155194836692705e-03,-4.641805085866795855e-02,5.016043556903952011e-02
6.200012366120218665e+00,-9.950967270600919942e-03,-4.279846655953471052e-02,5.059826339386364058e-02
6.300012565573770651e+00,-1.040812459599624665e-02,-3.853969280263826180e-02,5.130456514574900651e-02
6.400012765027322637e+00,-1.030240147872936440e-02,-3.382270100248903344e-02,5.185120757675316244e-02
6.500012964480874622e+00,-9.485017484923159020e-03,-2.889692306256869472e-02,5.169792452686791662e-02
6.600013163934426608e+00,-8.112554606046245426e-03,-2.405320376261096613e-02,5.044797622284452610e-02
6.700013363387978593e+00,-6.314580040766876179e-03,-1.947702879542310972e-02,4.795931519654006436e-02
6.800013562841530579e+00,-4.158828004681942164e-03,-1.520392731242982756e-02,4.428069835496158124e-02
6.900013762295082564e+00,-2.133582312208147976e-03,-1.150272550330059054e-02,4.000101978903982530e-02
7.000013961748634550e+00,-8.181590391376559503e-04,-8.420187673940097289e-03,3.555611280316848394e-02
7.100014161202185647e+00,6.603417332240202895e-05,-5.678400283467566374e-03,3.059425904073262426e-02
7.200014360655737633e+00,9.485688780365975330e-04,-3.367340871139878899e-03,2.563383615016247633e-02
7.300014560109289619e+00,1.985622199374831569e-03,-1.400213438002623082e-03,2.089779658245093791e-02
7.400014759562841604e+00,2.902109063349003933e-03,2.241676472396028933e-04,1.656878982278436885e-02
7.500014959016393590e+00,3.735403015687075324e-03,1.391173121329376122e-03,1.263328031408980125e-02
7.600015158469945575e+00,4.607399493646325075e-03,1.994513059728674539e-03,9.473535357332089207e-03
7.700015357923497561e+00,5.807771444984050242e-03,2.165858540932286049e-03,6.819719215111855540e-03
7.800015557377049547e+00,7.159726051504050962e-03,2.063856916720109742e-03,4.753419514598005748e-03
7.900015756830601532e+00,8.686061310892891421e-03,1.820773835459614607e-03,3.158026167072652129e-03
8.000015956284153518e+00,9.670573638164403282e-03,1.583237676970977899e-03,2.164969020409141486e-03
8.100016155737705503e+00,1.223235388120811132e-02,1.207156344933489134e-03,8.143212828928026196e-04
8.200016355191257489e+00,1.324971718891282402e-02,1.042402350386796399e-03,1.337483868273039609e-04
8.300016554644809474e+00,1.528891426049477920e-02,9.217893658027909512e-04,-5.447610479560787214e-04
8.400016754098361460e+00,1.765619641049200744e-02,8.496328203664566371e-04,-9.021031561461967949e-04
8.500016953551913446e+00,1.887413830619160890e-02,7.189980697290327587e-04,-1.088395954501163903e-03
8.600017153005465431e+00,2.003009593630052446e-02,5.031337137535300298e-04,-1.046110191185964464e-03
8.700017352459017417e+00,2.067005934028194256e-02,4.951265427457847597e-04,-8.461471707609306793e-04
8.800017551912569402e+00,2.095698577566203896e-02,9.127832210042975637e-04,-5.664027694177720378e-04
8.900017751366121388e+00,2.098450111285667802e-02,1.612375484769842200e-03,-3.971618809594648159e-04
9.000017950819671597e+00,2.137501730114247517e-02,2.229896112620587210e-03,-1.587397643259310504e-04
9.100018150273223583e+00,2.206568767361677050e-02,2.682609076032620599e-03,8.614078385667928422e-05
9.200018349726775568e+00,2.458692223580009190e-02,2.305363385364944760e-03,6.251578718039206041e-04
9.300018549180327554e+00,2.769797207297139061e-02,2.422809083615750335e-03,1.044292220450832986e-03
9.400018748633879540e+00,3.172442063990739414e-02,8.498382630632016514e-04,1.509709948722703400e-03
9.500018948087431525e+00,3.449481094180467666e-02,-6.551182550272797826e-04,1.685953409854563717e-03
9.600019147540983511e+00,3.552692057561696037e-02,-1.848846259484068040e-03,1.669470792534449030e-03
9.700019346994535496e+00,3.657531179815510375e-02,-2.580966431676634185e-03,1.653728592689456900e-03
9.800019546448087482e+00,3.900319709828652115e-02,-3.223337844336081684e-03,1.717892594683725601e-03
9.900019745901639467e+00,3.330268728859635263e-02,-3.964351605728087119e-03,1.358787628840253062e-03
1.000001994535519145e+01,2.931635839593689161e-02,-4.519132146831725955e-03,1.075876459925127412e-03
1.010002014480874344e+01,2.378923551349972076e-02,-4.825885886664123443e-03,7.173982917019504140e-04
1.020002034426229542e+01,1.683845337910238119e-02,-4.814787240085980670e-03,3.245137260224021519e-04
1.030002054371584741e+01,9.251115344350449923e-03,-4.634192109145705146e-03,-5.496423757557452651e-05
1.040002074316939940e+01,2.527175138606776224e-03,-4.496267700926159967e-03,-3.774344869747985986e-04
1.050002094262295138e+01,-1.397275521875655964e-02,-2.366782303793093113e-03,-8.612161648641302033e-04
1.060002114207650337e+01,-2.206904225665949626e-02,-9.551529761727739270e-04,-1.095340253150764226e-03
