time,x_mpc,y_mpc,z_mpc,vx_mpc,vy_mpc,vz_mpc
0.000000000000000000e+00,3.088418295313246631e-01,1.908960200878859410e-04,4.867187816409001000e-01,2.318826591767021684e-05,-5.006414365226164950e-05,-6.287841763038439359e-05
1.000001994535519162e-01,3.088440903264513815e-01,1.859470635811335225e-04,4.867123872752215918e-01,2.202754643224070759e-05,-4.891478906579011752e-05,-6.500864086451329734e-05
2.000003989071038324e-01,3.088462343752959582e-01,1.811491218769296062e-04,4.867058806078331523e-01,2.085334493227373800e-05,-4.704385362536717282e-05,-6.512444734833843505e-05
3.000005983606557347e-01,3.088482589625493602e-01,1.765558936978968343e-04,4.866994092090739521e-01,1.963831937443143269e-05,-4.482052672851859773e-05,-6.430326968673757949e-05
4.000007978142076648e-01,3.088501596967873630e-01,1.721986499816705171e-04,4.866930627617268579e-01,1.837628956443037106e-05,-4.232417378280696870e-05,-6.262542409127598998e-05
5.000009972677595949e-01,3.088519313863279381e-01,1.681000305468044725e-04,4.866869047411844229e-01,1.705743057280157088e-05,-3.964805141799927036e-05,-6.053474111043664403e-05
6.000011967213114694e-01,3.088535699302965565e-01,1.642751019855850112e-04,4.866809881918020553e-01,1.571338343688075061e-05,-3.685036722757694826e-05,-5.779601052136021833e-05
7.000013961748634550e-01,3.088550704980829731e-01,1.607306902752967889e-04,4.866753753432954133e-01,1.429791243356749390e-05,-3.403772558936861073e-05,-5.446073571189407274e-05
8.000015956284153296e-01,3.088564106479516624e-01,1.574640654597459768e-04,4.866701506312296477e-01,1.250503148051776030e-05,-3.129464041392341175e-05,-5.003329718555197864e-05
9.000017950819672041e-01,3.088575648012905628e-01,1.544614982413804421e-04,4.866654096545038888e-01,1.057798925817704427e-05,-2.875658417908665273e-05,-4.478604820886478491e-05
1.000001994535519190e+00,3.088585209931243858e-01,1.517140392841208015e-04,4.866612196772590049e-01,8.545809275246164994e-06,-2.619248536823530471e-05,-3.901332954795372544e-05
1.100002193989071175e+00,3.088592983864263397e-01,1.492150954901743753e-04,4.866575687468538969e-01,7.002025753247199550e-06,-2.378629082624870240e-05,-3.400513291680351693e-05
1.200002393442622939e+00,3.088598654370132701e-01,1.470288957645984852e-04,4.866544216768304287e-01,4.338963365438852290e-06,-1.993761647638282286e-05,-2.893614201325929168e-05
1.300002592896174924e+00,3.088597650071487344e-01,1.455899975545765725e-04,4.866523632536908783e-01,-6.347556649246974251e-06,-8.840290325498468128e-06,-1.223223866637022692e-05
1.400002792349726910e+00,3.088576888930033015e-01,1.455212249210853829e-04,4.866534712645763650e-01,-3.517464344237416254e-05,7.464840399058450982e-06,3.439241217675460610e-05
1.500002991803278674e+00,3.088503321559142312e-01,1.469950934173015072e-04,4.866608081173492417e-01,-1.119598048737612710e-04,2.201247073172004785e-05,1.123443506083336328e-04
1.600003191256830659e+00,3.088296990572857448e-01,1.494979272027725770e-04,4.866748716111454209e-01,-3.007013446276765546e-04,2.804410513808297740e-05,1.689249643134757887e-04
1.700003390710382645e+00,3.087799927191096083e-01,1.521554716012911770e-04,4.866898839948993749e-01,-6.934234360775187993e-04,2.510667682116655229e-05,1.313221119120963577e-04
1.800003590163934408e+00,3.086783900658892632e-01,1.539576826449286521e-04,4.866948163617838552e-01,-1.338625575334983836e-03,1.093747216024742226e-05,-3.267497097739617573e-05
1.900003789617486394e+00,3.084938416361244218e-01,1.532514121008890040e-04,4.866799050497045975e-01,-2.352335658209209895e-03,-2.506285486746311195e-05,-2.655506757855781354e-04
2.000003989071038379e+00,3.082062402378353272e-01,1.465350065360637288e-04,4.866458154950192849e-01,-3.399680834971002038e-03,-1.092649885073875742e-04,-4.162390580678220322e-04
2.100004188524590365e+00,3.078313933414590919e-01,1.285833431627782621e-04,4.866060377592446029e-01,-4.097242139674544571e-03,-2.497675628551454356e-04,-3.793140706674494930e-04
2.200004387978142351e+00,3.073979151479559468e-01,9.291309357370703380e-05,4.865801020537304789e-01,-4.572304438669580820e-03,-4.636360060175214598e-04,-1.393990050228957936e-04
2.300004587431693892e+00,3.069396301545596617e-01,3.169247712387952972e-05,4.865888021393752205e-01,-4.593377147979061347e-03,-7.607738808500191883e-04,3.134003708655990557e-04
2.400004786885245878e+00,3.065125065291317563e-01,-6.333312044206034896e-05,4.866525493114303158e-01,-3.949078322347667619e-03,-1.139734279837747262e-03,9.615405273208502742e-04
2.500004986338797863e+00,3.061943134622838736e-01,-1.987306394261799901e-04,4.867882351035907607e-01,-2.414770321687766813e-03,-1.568210698752201936e-03,1.752169903295925073e-03
2.600005185792349849e+00,3.060848927752804483e-01,-3.767994441069749722e-04,4.870059896197157512e-01,2.263609464791282479e-04,-1.993158291586750487e-03,2.602911732839197599e-03
2.700005385245901834e+00,3.063023530765937585e-01,-5.939474090035206646e-04,4.873060262846544699e-01,4.122836405158484402e-03,-2.349792344174862074e-03,3.397809597283978252e-03
2.800005584699453820e+00,3.069754851866577372e-01,-8.394115572968735561e-04,4.876747396471881602e-01,9.339778944456356841e-03,-2.559480829972476858e-03,3.976442945181494874e-03
2.900005784153005362e+00,3.082355711566648893e-01,-1.093839971673507593e-03,4.880814183740467271e-01,1.586189019006300702e-02,-2.529077308250255417e-03,4.157115369318948109e-03
3.000005983606557347e+00,3.102053780289669715e-01,-1.341032406659350322e-03,4.884989262642701613e-01,2.353416867914001967e-02,-2.414761530804436940e-03,4.193025780496278249e-03
3.100006183060109333e+00,3.129980210150970499e-01,-1.536263172892257537e-03,4.888531441158781576e-01,3.231857964317118997e-02,-1.489846005975285770e-03,2.891317121689668777e-03
3.200006382513661318e+00,3.167191990499890197e-01,-1.625300507341032779e-03,4.890531639848909040e-01,4.210483261452963727e-02,-2.908971312447839516e-04,1.109072279647318115e-03
3.300006581967213304e+00,3.214233757335549502e-01,-1.542940475794996524e-03,4.889876547559699471e-01,5.197851340421342364e-02,1.938094476771896500e-03,-2.419254244862243351e-03
3.400006781420765289e+00,3.271166346394241975e-01,-1.200188519848893135e-03,4.885053438250427371e-01,6.188643760548242362e-02,4.916930969558435185e-03,-7.226945133994844978e-03
3.500006980874317275e+00,3.337826878855961743e-01,-5.181785047501651651e-04,4.874729317399106310e-01,7.143436140488820807e-02,8.723242126606398084e-03,-1.342125538507827655e-02
3.600007180327868817e+00,3.413659180175742658e-01,5.865285031495235703e-04,4.857515923364506549e-01,8.022993873484010607e-02,1.337085396392796027e-02,-2.100546401880577785e-02
3.700007379781420802e+00,3.497707316878065908e-01,2.195761396253614623e-03,4.832085180127496105e-01,8.786599939648731539e-02,1.881373970483862096e-02,-2.985592101037576329e-02
3.800007579234972788e+00,3.588627054316772536e-01,4.383248270010614740e-03,4.797303910472078825e-01,9.397311279635763015e-02,2.493591051007007509e-02,-3.970647955577931432e-02
3.900007778688524773e+00,3.684753810406182772e-01,7.207224181839698603e-03,4.752358333216697983e-01,9.828001592676958997e-02,3.154349507633104344e-02,-5.018449566423897196e-02
4.000007978142076759e+00,3.784195213949595460e-01,1.070418765218332513e-02,4.696823560482762949e-01,1.006023944820234745e-01,3.839563483446269826e-02,-6.088482827191921132e-02
4.100008177595628744e+00,3.884900707235788841e-01,1.488604792372246605e-02,4.630682628327931760e-01,1.008081903697977122e-01,4.524140377927587942e-02,-7.139677219739168357e-02
4.200008377049180730e+00,3.984739031056249159e-01,1.973971251066178670e-02,4.554332338685641579e-01,9.886805900975101369e-02,5.183169434376836554e-02,-8.130350252106662012e-02
4.300008576502732716e+00,4.081659431925199755e-01,2.522778557975560026e-02,4.468587361098974031e-01,9.497235610655671567e-02,5.792954811541116411e-02,-9.018611061014435160e-02
4.400008775956284701e+00,4.173899067846645883e-01,3.129041944133728603e-02,4.374657419060598018e-01,8.950654778660925570e-02,6.332288727393343974e-02,-9.767339877414457638e-02
4.500008975409835799e+00,4.260102048420452148e-01,3.784697496241185011e-02,4.274087616076341911e-01,8.289906949187580976e-02,6.780796160242209825e-02,-1.034658060150802639e-01
4.600009174863387784e+00,4.339332847660186676e-01,4.480086056118367382e-02,4.168613351716343174e-01,7.556221293093741409e-02,7.126947297813117366e-02,-1.074823019614238873e-01
4.700009374316939770e+00,4.411035871809050879e-01,5.204382037499378361e-02,4.060003704252921342e-01,6.784354933890403283e-02,7.358943437183509961e-02,-1.097365597146846561e-01
4.800009573770491755e+00,4.474965830668052313e-01,5.945997291498009846e-02,3.949933162693486932e-01,6.001611335846081252e-02,7.473332059288806395e-02,-1.104040843258498744e-01
4.900009773224043741e+00,4.531144880337489855e-01,6.692642512958711654e-02,3.839940325886045391e-01,5.234176187864147262e-02,7.459542585776347823e-02,-1.095811505206692599e-01
5.000009972677595727e+00,4.579830177556380444e-01,7.431755113790565470e-02,3.731416656785742081e-01,4.502863835041703844e-02,7.322679947192843597e-02,-1.074657547721747652e-01
5.100010172131147712e+00,4.621337729239639036e-01,8.152589027280401912e-02,3.625473819899820982e-01,3.798629943985826207e-02,7.093969568084358690e-02,-1.044194963870082316e-01
5.200010371584699698e+00,4.656176224373193562e-01,8.845195896895023668e-02,3.523069823456648764e-01,3.169055185429605487e-02,6.758140195683136342e-02,-1.003880880033352907e-01
5.300010571038251683e+00,4.685453339763580582e-01,9.499271820545711342e-02,3.425082635599283054e-01,2.686356213821759070e-02,6.323352185829422822e-02,-9.558589683432196227e-02
5.400010770491803669e+00,4.710013634510281655e-01,1.010788456947437491e-01,3.332023084485790654e-01,2.225692938261904230e-02,5.848878514797355155e-02,-9.053283417224321228e-02
