time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.088418295313246631e-01,1.908960200878859410e-04,4.867187816409001000e-01,2.318826591767021684e-05,-5.006414365226164950e-05,-6.287841763038439359e-05,-1.150787258046470305e-05,7.714380030080745929e-06,-3.077823792417745284e-05
1.000001994535519162e-01,3.088440903264513815e-01,1.859470635811335225e-04,4.867123872752215918e-01,2.202754643224070759e-05,-4.891478906579011752e-05,-6.500864086451329734e-05,-1.160717170337883630e-05,1.149352294047557336e-05,-2.130218985331470353e-05
2.000003989071038324e-01,3.088462343752959582e-01,1.811491218769296062e-04,4.867058806078331523e-01,2.085334493227373800e-05,-4.704385362536717282e-05,-6.512444734833843505e-05,-1.174199157985041137e-05,1.870931708783196042e-05,-1.158062528454513638e-06
3.000005983606557347e-01,3.088482589625493602e-01,1.765558936978968343e-04,4.866994092090739521e-01,1.963831937443143269e-05,-4.482052672851859773e-05,-6.430326968673757949e-05,-1.215023134435506047e-05,2.223322462352953627e-05,8.211760237361019372e-06
4.000007978142076648e-01,3.088501596967873630e-01,1.721986499816705171e-04,4.866930627617268579e-01,1.837628956443037106e-05,-4.232417378280696870e-05,-6.262542409127598998e-05,-1.262027292842800083e-05,2.496347966656943873e-05,1.677842248945633381e-05
5.000009972677595949e-01,3.088519313863279381e-01,1.681000305468044725e-04,4.866869047411844229e-01,1.705743057280157088e-05,-3.964805141799927036e-05,-6.053474111043664403e-05,-1.318856361122941682e-05,2.676117027197236073e-05,2.090678810906199206e-05
6.000011967213114694e-01,3.088535699302965565e-01,1.642751019855850112e-04,4.866809881918020553e-01,1.571338343688075061e-05,-3.685036722757694826e-05,-5.779601052136021833e-05,-1.344044455176413937e-05,2.797678610352966034e-05,2.738725126591882498e-05
7.000013961748634550e-01,3.088550704980829731e-01,1.607306902752967889e-04,4.866753753432954133e-01,1.429791243356749390e-05,-3.403772558936861073e-05,-5.446073571189407274e-05,-1.415468180111695124e-05,2.812636028305876609e-05,3.335268157155342272e-05
8.000015956284153296e-01,3.088564106479516624e-01,1.574640654597459768e-04,4.866701506312296477e-01,1.250503148051776030e-05,-3.129464041392341175e-05,-5.003329718555197864e-05,-1.792877377092122595e-05,2.743079704275294461e-05,4.427429695676307012e-05
9.000017950819672041e-01,3.088575648012905628e-01,1.544614982413804421e-04,4.866654096545038888e-01,1.057798925817704427e-05,-2.875658417908665273e-05,-4.478604820886478491e-05,-1.927038378794222582e-05,2.538051172603547195e-05,5.247238510883607814e-05
1.000001994535519190e+00,3.088585209931243858e-01,1.517140392841208015e-04,4.866612196772590049e-01,8.545809275246164994e-06,-2.619248536823530471e-05,-3.901332954795372544e-05,-2.032175929683805495e-05,2.564093696675395510e-05,5.772707147041610410e-05
1.100002193989071175e+00,3.088592983864263397e-01,1.492150954901743753e-04,4.866575687468538969e-01,7.002025753247199550e-06,-2.378629082624870240e-05,-3.400513291680351693e-05,-1.543780442874038069e-05,2.406189742755696233e-05,5.008186642144065272e-05
1.200002393442622939e+00,3.088598654370132701e-01,1.470288957645984852e-04,4.866544216768304287e-01,4.338963365438852290e-06,-1.993761647638282286e-05,-2.893614201325929168e-05,-2.663057076246418513e-05,3.848666673563496771e-05,5.068980793281987790e-05
1.300002592896174924e+00,3.088597650071487344e-01,1.455899975545765725e-04,4.866523632536908783e-01,-6.347556649246974251e-06,-8.840290325498468128e-06,-1.223223866637022692e-05,-1.068649870008459338e-04,1.109730401691732681e-04,1.670387003042698103e-04
1.400002792349726910e+00,3.088576888930033015e-01,1.455212249210853829e-04,4.866534712645763650e-01,-3.517464344237416254e-05,7.464840399058450982e-06,3.439241217675460610e-05,-2.882702929659334439e-04,1.630509820345940847e-04,4.662455784878814097e-04
