time,x,y,z
0.018104,0.298585,-0.000012,0.457563
0.019991,0.298555,-0.000017,0.457561
0.022022,0.298543,-0.000017,0.457560
0.024138,0.298521,-0.000022,0.457560
0.026039,0.298513,-0.000027,0.457561
0.028040,0.298513,-0.000031,0.457564
0.030000,0.298517,-0.000035,0.457569
0.032031,0.298527,-0.000038,0.457575
0.033982,0.298542,-0.000041,0.457582
0.036052,0.298562,-0.000043,0.457590
0.038161,0.298586,-0.000045,0.457600
0.040144,0.298615,-0.000046,0.457611
0.042018,0.298648,-0.000047,0.457624
0.044080,0.298686,-0.000048,0.457637
0.046037,0.298728,-0.000048,0.457652
0.048124,0.298775,-0.000049,0.457668
0.050077,0.298825,-0.000049,0.457685
0.052050,0.298880,-0.000049,0.457704
0.054113,0.298939,-0.000049,0.457724
0.056115,0.299001,-0.000049,0.457745
0.058223,0.299068,-0.000049,0.457767
0.060039,0.299138,-0.000049,0.457790
0.062055,0.299212,-0.000049,0.457814
0.063964,0.299289,-0.000049,0.457839
0.066116,0.299370,-0.000049,0.457865
0.068023,0.299454,-0.000049,0.457892
0.069988,0.299541,-0.000048,0.457921
0.072001,0.299586,-0.000048,0.457935
0.074044,0.299724,-0.000048,0.457980
0.076227,0.299819,-0.000048,0.458011
0.078057,0.299868,-0.000048,0.458026
0.080049,0.299965,-0.000048,0.458058
0.082047,0.300064,-0.000048,0.458091
0.084009,0.300165,-0.000048,0.458124
0.086044,0.300267,-0.000048,0.458157
0.088018,0.300371,-0.000048,0.458192
0.090058,0.300475,-0.000048,0.458227
0.092014,0.300581,-0.000048,0.458262
0.094018,0.300688,-0.000048,0.458299
0.096021,0.300796,-0.000048,0.458335
0.098021,0.300905,-0.000048,0.458372
0.100020,0.301015,-0.000048,0.458410
0.102017,0.301126,-0.000048,0.458448
0.104024,0.301237,-0.000048,0.458487
0.106117,0.301349,-0.000048,0.458525
0.108015,0.301461,-0.000048,0.458565
0.110037,0.301574,-0.000048,0.458604
0.112013,0.301687,-0.000048,0.458644
0.113975,0.301801,-0.000048,0.458685
0.116014,0.301915,-0.000048,0.458725
0.117975,0.302029,-0.000048,0.458766
0.119981,0.302143,-0.000048,0.458807
0.122251,0.302257,-0.000048,0.458848
0.124075,0.302371,-0.000048,0.458890
0.125986,0.302485,-0.000048,0.458932
0.127990,0.302598,-0.000048,0.458974
0.129998,0.302711,-0.000048,0.459016
0.132013,0.302824,-0.000048,0.459058
0.134055,0.302936,-0.000049,0.459101
0.136134,0.303047,-0.000049,0.459143
0.138193,0.303158,-0.000049,0.459186
0.140102,0.303213,-0.000049,0.459207
0.142233,0.303377,-0.000049,0.459272
0.144080,0.303432,-0.000049,0.459293
0.146153,0.303593,-0.000049,0.459358
0.148049,0.303646,-0.000049,0.459379
0.150034,0.303752,-0.000049,0.459422
0.152013,0.303857,-0.000049,0.459465
0.154108,0.303961,-0.000049,0.459509
0.156032,0.304064,-0.000049,0.459552
0.158106,0.304165,-0.000049,0.459595
0.160011,0.304265,-0.000049,0.459638
0.162012,0.304364,-0.000049,0.459681
0.164014,0.304461,-0.000049,0.459724
0.166055,0.304557,-0.000049,0.459768
0.168017,0.304651,-0.000049,0.459811
0.170074,0.304744,-0.000049,0.459853
0.172232,0.304835,-0.000049,0.459896
0.174284,0.304925,-0.000049,0.459939
0.176071,0.304969,-0.000049,0.459960
0.178074,0.305099,-0.000049,0.460024
0.180228,0.305184,-0.000049,0.460067
0.182096,0.305267,-0.000049,0.460109
0.184058,0.305348,-0.000049,0.460151
0.186052,0.305428,-0.000049,0.460193
0.188037,0.305505,-0.000049,0.460235
0.190042,0.305543,-0.000049,0.460256
0.192019,0.305655,-0.000049,0.460319
0.194006,0.305691,-0.000049,0.460340
0.196041,0.305797,-0.000049,0.460402
0.198093,0.305865,-0.000049,0.460443
0.200082,0.305931,-0.000049,0.460484
0.202001,0.305995,-0.000049,0.460524
0.204243,0.306058,-0.000049,0.460565
0.206112,0.306118,-0.000049,0.460605
0.207991,0.306176,-0.000049,0.460646
0.209976,0.306233,-0.000049,0.460686
0.211991,0.306287,-0.000049,0.460725
0.214013,0.306339,-0.000049,0.460765
0.215972,0.306390,-0.000049,0.460804
0.218045,0.306438,-0.000049,0.460844
0.220091,0.306484,-0.000049,0.460883
0.222005,0.306507,-0.000049,0.460902
0.224000,0.306571,-0.000049,0.460960
0.226026,0.306612,-0.000049,0.460998
0.227981,0.306650,-0.000049,0.461036
0.230101,0.306686,-0.000049,0.461074
0.232104,0.306721,-0.000049,0.461112
0.234119,0.306753,-0.000049,0.461150
0.236085,0.306769,-0.000049,0.461168
0.238112,0.306798,-0.000049,0.461205
0.240039,0.306826,-0.000049,0.461242
0.242018,0.306851,-0.000049,0.461279
0.244022,0.306875,-0.000049,0.461316
0.246011,0.306897,-0.000049,0.461352
0.248019,0.306917,-0.000049,0.461388
0.250011,0.306935,-0.000049,0.461424
0.251975,0.306952,-0.000049,0.461460
0.253963,0.306966,-0.000049,0.461496
0.255988,0.306979,-0.000049,0.461531
0.258034,0.306990,-0.000049,0.461566
0.260126,0.307002,-0.000049,0.461602
0.262066,0.307013,-0.000049,0.461637
0.264026,0.307025,-0.000049,0.461673
0.266019,0.307037,-0.000049,0.461708
0.268073,0.307048,-0.000049,0.461744
0.270301,0.307060,-0.000049,0.461780
0.272273,0.307072,-0.000049,0.461816
0.274151,0.307083,-0.000049,0.461852
0.276225,0.307095,-0.000049,0.461888
0.278110,0.307101,-0.000049,0.461906
0.280015,0.307113,-0.000049,0.461942
0.282062,0.307124,-0.000049,0.461978
0.284012,0.307136,-0.000049,0.462014
0.286096,0.307148,-0.000049,0.462050
0.288044,0.307160,-0.000049,0.462087
0.290050,0.307172,-0.000049,0.462123
0.292038,0.307184,-0.000049,0.462160
0.294030,0.307195,-0.000049,0.462196
0.296038,0.307207,-0.000049,0.462233
0.298030,0.307219,-0.000049,0.462270
0.300052,0.307231,-0.000049,0.462306
0.302069,0.307243,-0.000049,0.462343
0.304070,0.307255,-0.000049,0.462380
0.306131,0.307267,-0.000049,0.462417
0.307988,0.307273,-0.000049,0.462436
0.310186,0.307291,-0.000049,0.462491
0.312096,0.307303,-0.000049,0.462528
0.314098,0.307309,-0.000049,0.462547
0.316031,0.307321,-0.000049,0.462584
0.318039,0.307333,-0.000049,0.462621
0.320019,0.307345,-0.000049,0.462658
0.322028,0.307357,-0.000049,0.462696
0.324026,0.307369,-0.000049,0.462733
0.326180,0.307381,-0.000049,0.462770
0.328017,0.307394,-0.000049,0.462808
0.329974,0.307406,-0.000049,0.462845
0.331972,0.307418,-0.000049,0.462883
0.334120,0.307430,-0.000049,0.462920
