time,x,y,z
0.010008,0.296456,-0.000003,0.448981
0.013156,0.296456,-0.000003,0.448981
0.013952,0.296456,-0.000003,0.448981
0.016010,0.296457,-0.000003,0.448981
0.017973,0.296463,-0.000003,0.448983
0.020043,0.296473,-0.000003,0.448986
0.021985,0.296488,-0.000003,0.448990
0.023980,0.296508,-0.000003,0.448995
0.025998,0.296532,-0.000003,0.449002
0.027997,0.296561,-0.000003,0.449009
0.029995,0.296593,-0.000003,0.449018
0.031994,0.296630,-0.000003,0.449028
0.033996,0.296650,-0.000003,0.449034
0.035979,0.296716,-0.000003,0.449052
0.037989,0.296765,-0.000003,0.449066
0.039980,0.296818,-0.000003,0.449081
0.041973,0.296875,-0.000003,0.449097
0.044015,0.296935,-0.000003,0.449114
0.046002,0.296999,-0.000003,0.449132
0.047977,0.297066,-0.000003,0.449151
0.049971,0.297137,-0.000003,0.449171
0.051977,0.297210,-0.000003,0.449193
0.053982,0.297287,-0.000003,0.449215
0.055962,0.297367,-0.000003,0.449239
0.058091,0.297450,-0.000003,0.449263
0.060126,0.297536,-0.000003,0.449289
0.062010,0.297580,-0.000003,0.449302
0.064010,0.297670,-0.000003,0.449329
0.066012,0.297762,-0.000003,0.449357
0.068010,0.297857,-0.000003,0.449386
0.069990,0.297955,-0.000003,0.449416
0.071980,0.298055,-0.000003,0.449447
0.073994,0.298157,-0.000003,0.449479
0.075979,0.298261,-0.000003,0.449512
0.077975,0.298368,-0.000003,0.449545
0.079981,0.298476,-0.000003,0.449580
0.081974,0.298586,-0.000003,0.449615
0.083972,0.298698,-0.000003,0.449652
0.085979,0.298811,-0.000003,0.449689
0.087936,0.298926,-0.000003,0.449727
0.089996,0.299042,-0.000003,0.449766
0.092015,0.299160,-0.000003,0.449806
0.093996,0.299280,-0.000003,0.449846
0.096066,0.299401,-0.000003,0.449887
0.098020,0.299524,-0.000003,0.449929
0.100017,0.299649,-0.000003,0.449971
0.102072,0.299774,-0.000003,0.450014
0.103996,0.299838,-0.000003,0.450036
0.105985,0.299966,-0.000003,0.450079
0.107987,0.300095,-0.000003,0.450123
0.110012,0.300225,-0.000003,0.450168
0.111975,0.300356,-0.000003,0.450213
0.113981,0.300488,-0.000003,0.450259
0.116010,0.300621,-0.000003,0.450305
0.117976,0.300755,-0.000003,0.450351
0.119975,0.300889,-0.000003,0.450398
0.121987,0.301024,-0.000003,0.450446
0.123979,0.301160,-0.000003,0.450494
0.125977,0.301296,-0.000003,0.450542
0.127976,0.301432,-0.000003,0.450590
0.129975,0.301568,-0.000003,0.450639
0.132077,0.301704,-0.000003,0.450689
0.133984,0.301840,-0.000003,0.450738
0.136065,0.301976,-0.000003,0.450788
0.138105,0.302112,-0.000003,0.450839
0.139981,0.302180,-0.000003,0.450864
0.141958,0.302316,-0.000003,0.450915
0.143981,0.302451,-0.000003,0.450966
0.145983,0.302586,-0.000003,0.451017
0.148126,0.302720,-0.000003,0.451068
0.150012,0.302854,-0.000003,0.451120
0.152110,0.302987,-0.000003,0.451172
0.154022,0.303120,-0.000003,0.451224
0.155978,0.303251,-0.000003,0.451277
0.157976,0.303382,-0.000003,0.451329
0.159974,0.303512,-0.000003,0.451382
0.161973,0.303640,-0.000003,0.451435
