time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
0.000000000000000000e+00,0.000000000000000000e+00,-5.743565906613667948e-01,2.420441993633585013e-16,-1.065727422225534182e+00,-5.208546062249487058e-17,1.781712787246822360e+00,3.562265547863471393e-03
9.999995769511304741e-03,1.429625158488922196e-03,-5.983476747270042306e-01,-3.704116954976968083e-03,-1.166261742463810203e+00,-2.752565835703193933e-03,1.805911649769479155e+00,3.477699251448429247e-03
1.999999153902260948e-02,2.439926047708361381e-03,-6.219812239261665043e-01,-6.832255626752410139e-03,-1.335189198709286762e+00,-5.576025158202249990e-03,1.832412660308098351e+00,2.944451065140833972e-03
2.999998730853391249e-02,3.019731735941229289e-03,-6.446655917209308528e-01,-9.317780893809489429e-03,-1.564450279055107806e+00,-8.516237473258980034e-03,1.860530775685465210e+00,2.170412459008643630e-03
3.999998307804521896e-02,3.169804953247219031e-03,-6.657940692654453763e-01,-1.111434161220613802e-02,-1.843795782466514988e+00,-1.159695793852976581e-02,1.889540219660189369e+00,1.272417964676009509e-03
4.999997884755652544e-02,2.903903297304083041e-03,-6.848507834839043795e-01,-1.219564392428655435e-02,-2.162160202674459519e+00,-1.483033519270571428e-02,1.918762228690197080e+00,3.392611510966007157e-04
5.999997461706782498e-02,2.252326550198471659e-03,-7.014872442480712955e-01,-1.256019945039401654e-02,-2.508887227430721012e+00,-1.822617472039015155e-02,1.947630540578689118e+00,-5.648610584889899623e-04
6.999997038657913839e-02,1.264857566411375575e-03,-7.155562513329306595e-01,-1.223778350576220156e-02,-2.874594072955327206e+00,-2.179442513780933607e-02,1.975725830133820304e+00,-1.408702831130969561e-03
7.999996615609043793e-02,1.045384752498372606e-05,-7.271061655648800581e-01,-1.129338948782445361e-02,-3.251612341173720111e+00,-2.554120200802748736e-02,2.002779824303405842e+00,-2.197956005183726753e-03
8.999996192560173747e-02,-1.427407243413310670e-03,-7.363483435202839988e-01,-9.824998905167381738e-03,-3.634064822450631560e+00,-2.946330602732083470e-02,2.028656691841101978e+00,-2.969015860631052297e-03
9.999995769511305088e-02,-2.958915210439105707e-03,-7.436126452667821685e-01,-7.953695879550906275e-03,-4.017699264504563494e+00,-3.354751820255002376e-02,2.053322322799260746e+00,-3.773522758065744800e-03
1.099999534646243504e-01,-4.497447559798155650e-03,-7.493029582286971912e-01,-5.807907490384035636e-03,-4.399604629206283590e+00,-3.777760567698266320e-02,2.076811489041836545e+00,-4.660042602853886259e-03
1.199999492341356500e-01,-5.967954287017074311e-03,-7.538599039501893140e-01,-3.506156825661513408e-03,-4.777904388294698990e+00,-4.214637921292486988e-02,2.099199671191034788e+00,-5.660417708181600220e-03
1.299999450036469495e-01,-7.312492250022248862e-03,-7.577335089573157267e-01,-1.143102186320783028e-03,-5.151480201621714272e+00,-4.666682272910349649e-02,2.120582302921673712e+00,-6.784877141035226822e-03
1.399999407731582768e-01,-8.492388478971041668e-03,-7.613655863362734921e-01,1.218223037208216591e-03,-5.519745901902529006e+00,-5.137739964572577561e-02,2.141061058454406307e+00,-8.025063026328920629e-03
1.499999365426695763e-01,-9.487509283803400792e-03,-7.651800120207972178e-01,3.547715448181099768e-03,-5.882472419436701294e+00,-5.634033698572651211e-02,2.160735380161266317e+00,-9.361163471980149878e-03
1.599999323121808759e-01,-1.029361193700855694e-02,-7.695786582164355627e-01,5.844727292007966500e-03,-6.239656576448962433e+00,-6.163488545076219183e-02,2.179697387591480684e+00,-1.076929370067417416e-02
1.699999280816921754e-01,-1.091879558259031997e-02,-7.749409847143480246e-01,8.132115640834988030e-03,-6.591425219204221975e+00,-6.734868096743393262e-02,2.198028848209976349e+00,-1.222688316085202877e-02
1.799999238512034749e-01,-1.137984341844969216e-02,-7.816257739536647264e-01,1.044976281480911040e-02,-6.937966944514055712e+00,-7.356974404956655167e-02,2.215799439518352454e+00,-1.371553032556970843e-02
1.899999196207148022e-01,-1.169894734761062205e-02,-7.899739780428289837e-01,1.284877681105174065e-02,-7.279484894433219999e+00,-8.038042851555414481e-02,2.233065880488721344e+00,-1.522180175585068074e-02
1.999999153902261018e-01,-1.190104292358259291e-02,-8.003120247788130248e-01,1.538689259864787356e-02,-7.616165240095071454e+00,-8.785357341099897521e-02,2.249871677951140292e+00,-1.673676595814459211e-02
2.099999111597374013e-01,-1.201179899729412116e-02,-8.129551925221303321e-01,1.812513194028600449e-02,-7.948157009057942091e+00,-9.605050352734958996e-02,2.266247303194080409e+00,-1.825495814772413322e-02
2.199999069292487008e-01,-1.205620175747104325e-02,-8.282108331317019623e-01,2.112554095219334321e-02,-8.275559844296742185e+00,-1.050203124774942293e-01,2.282210647560798389e+00,-1.977324034671378364e-02
2.299999026987600004e-01,-1.205762735455286061e-02,-8.463813261349470984e-01,2.444974394883378532e-02,-8.598417105954148099e+00,-1.147998895722909529e-01,2.297767631948921974e+00,-2.128980295785722066e-02
2.399998984682712999e-01,-1.203728895256670275e-02,-8.677667086631010163e-01,2.815805899032316345e-02,-8.916712420144239815e+00,-1.254142787623165056e-01,2.312912871460845121e+00,-2.280340079220350563e-02
2.499998942377826272e-01,-1.201395516674128895e-02,-8.926669601850178992e-01,3.230896458801178067e-02,-9.230368335058560803e+00,-1.368770999400093225e-01,2.327630322194216284e+00,-2.431282836485893634e-02
2.599998900072938990e-01,-1.200385564884595170e-02,-9.213839389252251877e-01,3.695875918888920364e-02,-9.539246171204238678e+00,-1.491908815197618421e-01,2.341893859961285962e+00,-2.581659828654760125e-02
2.699998857768052263e-01,-1.202070935909853831e-02,-9.542229744902656075e-01,4.216130173921757429e-02,-9.843146467801670241e+00,-1.623472381984275015e-01,2.355667759134966843e+00,-2.731277410151555438e-02
2.799998815463165536e-01,-1.207582859504698937e-02,-9.914941226938953633e-01,4.796775829531776947e-02,-1.014180965292643855e+01,-1.763268822578740180e-01,2.368907053554901498e+00,-2.879891108087387699e-02
2.899998773158278254e-01,-1.217826601701520878e-02,-1.033513086410299042e+00,5.442630628368433365e-02,-1.043491672186209840e+01,-1.910994882016618934e-01,2.381557770964627174e+00,-3.027206662284548724e-02
2.999998730853391526e-01,-1.233498269880620515e-02,-1.080601802092791885e+00,6.158176636951016858e-02,-1.072208981426365071e+01,-2.066234464579668195e-01,2.393557038591902941e+00,-3.172885132902938943e-02
3.099998688548504244e-01,-1.255102310183607572e-02,-1.133088686362256015e+00,6.947514410574434640e-02,-1.100289265034053798e+01,-2.228455483096147827e-01,2.404833061064994837e+00,-3.316550032102376366e-02
3.199998646243617517e-01,-1.282968841737991764e-02,-1.191308531388231673e+00,7.814307151139254781e-02,-1.127683083010418663e+01,-2.397006452980453561e-01,2.415304973609338823e+00,-3.457795115427831495e-02
3.299998603938730790e-01,-1.317270351317483684e-02,-1.255602031987512746e+00,8.761714396243922010e-02,-1.154335202565506435e+01,-2.571113247307187377e-01,2.424882573969742161e+00,-3.596191970690491846e-02
3.399998561633843508e-01,-1.358037523259680336e-02,-1.326314921610382447e+00,9.792315135612932042e-02,-1.180184611016221119e+01,-2.749876401218904753e-01,2.433465936184572964e+00,-3.731296890431674840e-02
3.499998519328956781e-01,-1.405174139708763661e-02,-1.403796688719990415e+00,1.090802051763054420e-01,-1.205164527266221697e+01,-2.932269321897494896e-01,2.440944908509056432e+00,-3.862656740858719240e-02
3.599998477024069499e-01,-1.458471083050919860e-02,-1.488398839471164248e+00,1.210997653380682659e-01,-1.229202416801644482e+01,-3.117137727337179198e-01,2.447198496663646416e+00,-3.989813676562486283e-02
3.699998434719182772e-01,-1.517619525558543819e-02,-1.580472666994282793e+00,1.339845728401516112e-01,-1.252220014853246965e+01,-3.303200603807026070e-01,2.452094132325969067e+00,-4.112308622566081956e-02
3.799998392414296045e-01,-1.582223414674139433e-02,-1.680366481902282105e+00,1.477274964997356277e-01,-1.274133361965239963e+01,-3.489052937503485663e-01,2.455486825506254522e+00,-4.229683473856061388e-02
3.899998350109408762e-01,-1.651811365675257340e-02,-1.788422252782369437e+00,1.623103045079343776e-01,-1.294852855826240656e+01,-3.673170439409990662e-01,2.457218198239095042e+00,-4.341481963001157796e-02
3.999998307804522035e-01,-1.725848063267420782e-02,-1.904971599349314815e+00,1.777023743015599677e-01,-1.314283322997943415e+01,-3.853916442905254702e-01,2.457115395969725835e+00,-4.447249130257514838e-02
4.099998265499634753e-01,-1.803745254472337994e-02,-2.030331074612353071e+00,1.938593573526670444e-01,-1.332324114254782721e+01,-4.029551110788868185e-01,2.454989872189615507e+00,-4.546529306232616197e-02
4.199998223194748026e-01,-1.884872390142582066e-02,-2.164796665898974570e+00,2.107218189798834018e-01,-1.348869227748993005e+01,-4.198243042386771151e-01,2.450636041366607287e+00,-4.638862491224802348e-02
4.299998180889861299e-01,-1.968566943764271659e-02,-2.308637438036730494e+00,2.282138772358109358e-01,-1.363807465254313200e+01,-4.358083323262206266e-01,2.443829795110095127e+00,-4.723778992856808578e-02
4.399998138584974017e-01,-2.054144405552291164e-02,-2.462088235680196746e+00,2.462418693815780490e-01,-1.377022628411259220e+01,-4.507102011501816774e-01,2.434326876915615667e+00,-4.800792168694298367e-02
4.499998096280087290e-01,-2.140907918481041450e-02,-2.625341356070795218e+00,2.646930794876570237e-01,-1.388393764255208751e+01,-4.643287007875177563e-01,2.421861111868217620e+00,-4.869389116510410009e-02
