time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
0.000000000000000000e+00,0.000000000000000000e+00,-5.743565906613667948e-01,2.420441993633585013e-16,-1.065727422225534182e+00,-5.208546062249487058e-17,1.781712787246822360e+00,3.562265547863471393e-03
9.999995769511304741e-03,1.601587127569311254e-03,-5.985341747532937351e-01,-3.911084771976179597e-03,-1.167178380551227246e+00,-2.794125920065878253e-03,1.806355337566403430e+00,3.586647162122312636e-03
1.999999153902260948e-02,2.748257645883227154e-03,-6.223695084648661613e-01,-7.196009412450596852e-03,-1.337935287821696129e+00,-5.702199779057713115e-03,1.833338922714079944e+00,2.896338991427291430e-03
2.999998730853391249e-02,3.434908385822203151e-03,-6.452771405733304100e-01,-9.791142689553005915e-03,-1.570031560092084888e+00,-8.767411740242899224e-03,1.862009193304396071e+00,2.056203180476705132e-03
3.999998307804521896e-02,3.651584717371049536e-03,-6.666443719920127631e-01,-1.162875014487952524e-02,-1.853261629905369468e+00,-1.204090626385532700e-02,1.891639809352697377e+00,1.061029413337239661e-03
4.999997884755652544e-02,3.392029957459808016e-03,-6.859375585683156196e-01,-1.264787693357726991e-02,-2.176496728589638163e+00,-1.555514840922078527e-02,1.921526599232672661e+00,-8.253577540439467272e-06
5.999997461706782498e-02,2.668016233837779052e-03,-7.027842003222504186e-01,-1.281463685442646092e-02,-2.528899610968612155e+00,-1.933402633354372457e-02,1.951060989684918923e+00,-1.106668443031198854e-03
6.999997038657913839e-02,1.523410108783636828e-03,-7.170136250375487297e-01,-1.214579555030968067e-02,-2.900824830954403133e+00,-2.338795919953058980e-02,1.979776595360367653e+00,-2.215050592858903121e-03
7.999996615609043793e-02,4.088967394244840542e-05,-7.286568653455866018e-01,-1.072428097489116182e-02,-3.284314545846238165e+00,-2.770652653173199739e-02,2.007363770652624169e+00,-3.340964118403844975e-03
8.999996192560173747e-02,-1.663578404268727193e-03,-7.379168414078987048e-01,-8.696427451237132358e-03,-3.673223333518214950e+00,-3.225563223540436203e-02,2.033656955055668458e+00,-4.505869408686304436e-03
9.999995769511305088e-02,-3.457644822017484632e-03,-7.451237003312495277e-01,-6.248661792863999254e-03,-4.063081176505932923e+00,-3.698619003989156440e-02,2.058605301878714045e+00,-5.729180827930643698e-03
1.099999534646243504e-01,-5.214264514545514408e-03,-7.506883213227950602e-01,-3.572014815423318803e-03,-4.450821653409009926e+00,-4.185325692225801142e-02,2.082238413358520113e+00,-7.017516971221715583e-03
1.199999492341356500e-01,-6.829907201108984145e-03,-7.550624734095582324e-01,-8.285004171943442016e-04,-4.834475830876765912e+00,-4.683683872871432369e-02,2.104635875357487862e+00,-8.363506993448160259e-03
1.299999450036469495e-01,-8.234174642066752550e-03,-7.587092972638127542e-01,1.869709930955434918e-03,-5.212889499322962195e+00,-5.195461472661026814e-02,2.125904256347713961e+00,-9.751404313342301733e-03
1.399999407731582768e-01,-9.390550004207583179e-03,-7.620841589033920949e-01,4.465512205038196097e-03,-5.585486097471630274e+00,-5.726247783911252859e-02,2.146161297300923199e+00,-1.116391160449906050e-02
1.499999365426695763e-01,-1.029119546610631972e-02,-7.656239917903071568e-01,6.950407308377612101e-03,-5.952078212408156155e+00,-6.284537220820682335e-02,2.165525418927636281e+00,-1.258654016998757112e-02
1.599999323121808759e-01,-1.094931323514506533e-02,-7.697427207553335649e-01,9.352518370215282678e-03,-6.312723063957675684e+00,-6.880395547474664475e-02,2.184108765071620439e+00,-1.400895880280290419e-02
1.699999280816921754e-01,-1.139160355639785849e-02,-7.748306305420852302e-01,1.172406741621304094e-02,-6.667615422797626756e+00,-7.524192371244102506e-02,2.202012630154224659e+00,-1.542446413553560068e-02
1.799999238512034749e-01,-1.165206676329033457e-02,-7.812560751017549876e-01,1.413098976542757901e-02,-7.017011159685362820e+00,-8.225654878827057259e-02,2.219324615323967187e+00,-1.682881403837801701e-02
1.899999196207148022e-01,-1.176746424682043393e-02,-7.893684338783624188e-01,1.664547728987649314e-02,-7.361174883033057448e+00,-8.993292457511033178e-02,2.236117098576095419e+00,-1.821914644764301150e-02
1.999999153902261018e-01,-1.177427297649079850e-02,-7.995016127871438227e-01,1.934118875113745306e-02,-7.700345725452040213e+00,-9.834126832995018774e-02,2.252446691013894053e+00,-1.959322708039745384e-02
2.099999111597374013e-01,-1.170680385418920895e-02,-8.119776591077726424e-01,2.229047724556081078e-02,-8.034716220203735659e+00,-1.075362639011703814e-01,2.268354389747045730e+00,-2.094901551289878733e-02
2.199999069292487008e-01,-1.159615226971086842e-02,-8.271102382976946998e-01,2.556296647754975615e-02,-8.364420217850174311e+00,-1.175575215062205359e-01,2.283866176406809334e+00,-2.228445757897586088e-02
